,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",PROV,73,GTOWN,63,W,-1.5,W,145.0,U
1,"Feb 15, 2020",SETON,71,PROV,74,W,1.0,W,138.0,O
2,"Feb 12, 2020",PROV,69,STJON,80,L,1.0,L,140.5,O
3,"Feb 8, 2020",PROV,58,XAVIR,64,L,-4.0,L,132.5,U
4,"Feb 5, 2020",CREIG,56,PROV,73,W,-2.0,W,140.5,U
5,"Feb 1, 2020",PROV,65,BUTLR,61,W,-6.5,W,129.5,U
6,"Jan 25, 2020",VILLA,64,PROV,60,L,3.0,L,135.0,U
7,"Jan 22, 2020",PROV,64,SETON,73,L,-9.0,P,136.0,O
8,"Jan 18, 2020",PROV,74,CREIG,78,L,-6.5,W,141.5,O
9,"Jan 15, 2020",STJON,58,PROV,63,W,-6.0,L,140.5,U
10,"Jan 10, 2020",BUTLR,70,PROV,58,L,1.5,L,127.5,O
11,"Jan 7, 2020",PROV,81,MARQ,80,W,-5.5,W,144.5,O
12,"Jan 4, 2020",PROV,66,DPAUL,65,W,-2.0,W,140.5,U
13,"Dec 31, 2019",GTOWN,60,PROV,76,W,-2.5,W,148.0,U
14,"Dec 21, 2019",TEXAS,48,PROV,70,W,-1.0,W,133.5,U
15,"Dec 17, 2019",PROV,51,FLA,83,L,-5.0,L,132.0,O
16,"Dec 14, 2019",STONY,78,PROV,82,W,-12.5,L,134.0,O
17,"Dec 6, 2019",PROV,61,RHODEI,75,L,2.0,L,142.0,U
18,"Dec 1, 2019",PROV,80,PEPPR,77,W,7.5,L,148.5,O
19,"Nov 29, 2019",PROV,55,COLCH,63,L,9.5,L,137.0,U
20,"Nov 28, 2019",PROV,65,LONGB,66,L,16.5,L,146.0,U
21,"Nov 23, 2019",PENN,81,PROV,75,L,-15.0,L,147.0,O
22,"Nov 19, 2019",MERRIM,56,PROV,93,W,-21.5,W,128.0,O
23,"Nov 16, 2019",STPET,47,PROV,68,W,-28.5,L,133.5,U
24,"Nov 13, 2019",PROV,63,NWEST,72,L,9.0,L,135.0,P
25,"Nov 9, 2019",NJIT,47,PROV,76,W,-16.0,W,145.0,U
26,"Nov 5, 2019",SACRD,60,PROV,106,W,-18.5,W,151.0,O
27,"Mar 19, 2019",ARK,84,PROV,72,L,-7.5,L,144.0,O
28,"Mar 14, 2019",PROV,62,VILLA,73,L,-6.5,L,131.0,O
29,"Mar 13, 2019",BUTLR,57,PROV,80,W,-1.5,W,135.0,O
