,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",PURDU,65,WISCN,69,L,-4.0,P,121.5,O
1,"Feb 15, 2020",PURDU,52,OHIOS,68,L,-5.5,L,128.5,U
2,"Feb 11, 2020",PENST,88,PURDU,76,L,-5.5,L,136.5,O
3,"Feb 8, 2020",PURDU,74,INDY,62,W,-3.0,W,127.0,O
4,"Feb 5, 2020",IOWA,68,PURDU,104,W,-4.5,W,136.5,O
5,"Feb 1, 2020",PURDU,61,NWEST,58,W,5.5,L,125.0,U
6,"Jan 28, 2020",PURDU,63,RUTGR,70,L,-3.0,L,121.0,O
7,"Jan 24, 2020",WISCN,51,PURDU,70,W,-4.0,W,116.5,O
8,"Jan 21, 2020",ILL,79,PURDU,62,L,-6.0,L,127.0,O
9,"Jan 18, 2020",PURDU,50,MARYL,57,L,-6.5,L,124.5,U
10,"Jan 12, 2020",MICHS,42,PURDU,71,W,4.5,W,135.0,U
11,"Jan 9, 2020",PURDU,78,MICH,84,L,-5.5,L,130.5,O
12,"Jan 5, 2020",PURDU,37,ILL,63,L,-2.0,L,131.0,U
13,"Jan 2, 2020",MINN,78,PURDU,83,W,-7.5,L,133.0,O
14,"Dec 28, 2019",CMICH,62,PURDU,97,W,-18.0,W,144.5,O
15,"Dec 21, 2019",BUTLR,70,PURDU,61,L,2.0,L,120.0,O
16,"Dec 17, 2019",PURDU,69,OHIO,51,W,8.0,W,128.0,U
17,"Dec 15, 2019",PURDU,56,NEBRS,70,L,12.5,L,137.5,U
18,"Dec 8, 2019",NWEST,44,PURDU,58,W,-13.0,W,126.0,U
19,"Dec 4, 2019",VIRGA,40,PURDU,69,W,-2.5,W,102.5,O
20,"Nov 30, 2019",FLAST,63,PURDU,60,L,1.5,L,124.5,U
21,"Nov 29, 2019",VACOM,56,PURDU,59,W,-2.0,W,130.5,U
22,"Nov 23, 2019",JAXST,49,PURDU,81,W,-21.0,W,133.5,U
23,"Nov 16, 2019",CHIST,49,PURDU,93,W,-39.0,W,142.5,U
24,"Nov 13, 2019",PURDU,55,MARQ,65,L,-1.0,L,140.5,U
25,"Nov 9, 2019",TEXAS,70,PURDU,66,L,-7.0,L,130.5,O
26,"Nov 6, 2019",WISGB,57,PURDU,79,W,-23.0,L,150.5,U
27,"Mar 30, 2019",PURDU,75,VIRGA,80,L,-4.5,L,127.5,O
28,"Mar 28, 2019",PURDU,99,TENN,94,W,-1.5,W,147.5,O
29,"Mar 23, 2019",VILLA,61,PURDU,87,W,-3.5,W,138.0,O
