,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",QUINN,63,RIDER,79,L,-7.5,L,147.5,U
1,"Feb 14, 2020",QUINN,72,STPET,84,L,-4.5,L,133.0,O
2,"Feb 9, 2020",MANHT,65,QUINN,63,L,-2.0,L,132.5,U
3,"Feb 7, 2020",IONA,73,QUINN,52,L,-5.5,L,146.0,U
4,"Feb 2, 2020",QUINN,59,NIAGR,75,L,3.0,L,144.0,U
5,"Jan 31, 2020",QUINN,90,CANIS,73,W,-4.0,W,147.0,O
6,"Jan 26, 2020",QUINN,61,SIENA,84,L,-4.5,L,145.0,P
7,"Jan 24, 2020",FAIRF,67,QUINN,81,W,-4.0,W,128.0,O
8,"Jan 18, 2020",STPET,71,QUINN,51,L,-5.5,L,132.5,U
9,"Jan 16, 2020",QUINN,57,MANHT,69,L,-2.0,L,132.0,U
10,"Jan 12, 2020",MONMO,70,QUINN,84,W,-3.0,W,141.5,O
11,"Jan 10, 2020",NIAGR,56,QUINN,67,W,-7.5,W,146.0,U
12,"Jan 7, 2020",RIDER,61,QUINN,80,W,2.5,W,150.0,U
13,"Jan 3, 2020",QUINN,63,MARST,58,W,5.5,L,129.5,U
14,"Dec 21, 2019",QUINN,69,BOWLG,64,W,-5.0,W,142.0,U
15,"Dec 20, 2019",DREXL,72,QUINN,63,L,-1.5,L,149.0,U
16,"Dec 15, 2019",QUINN,81,MAINE,61,W,3.5,W,134.0,O
17,"Dec 7, 2019",NH,67,QUINN,75,W,-7.5,W,146.0,U
18,"Dec 3, 2019",QUINN,77,FDU,78,L,-2.5,W,143.0,O
19,"Nov 24, 2019",SACRD,97,QUINN,80,L,-2.5,L,149.5,O
20,"Nov 23, 2019",PRESB,64,QUINN,73,W,-7.5,W,136.0,O
21,"Nov 22, 2019",ALBNY,69,QUINN,86,W,1.0,W,139.5,O
22,"Nov 16, 2019",QUINN,52,MIAMI,80,L,-16.0,L,144.5,U
23,"Nov 13, 2019",QUINN,68,BROWN,70,L,-5.5,W,144.5,U
24,"Mar 18, 2019",QUINN,81,NJIT,92,L,-5.5,L,147.5,O
25,"Mar 9, 2019",MONMO,98,QUINN,92,L,-3.5,L,133.5,O
26,"Mar 3, 2019",MANHT,62,QUINN,58,L,-7.5,L,125.0,U
27,"Mar 1, 2019",QUINN,77,STPET,60,W,1.5,W,129.0,O
28,"Feb 24, 2019",QUINN,68,MONMO,56,W,-1.0,W,138.0,U
29,"Feb 19, 2019",IONA,81,QUINN,77,L,2.0,L,152.0,O
