,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",RADFD,73,CAMBP,60,W,2.0,W,130.0,O
1,"Feb 13, 2020",PRESB,71,RADFD,81,W,-10.5,L,134.0,O
2,"Feb 10, 2020",RADFD,81,WINTH,77,W,-7.5,W,141.5,O
3,"Feb 8, 2020",RADFD,81,HIGHP,70,W,7.0,W,134.0,O
4,"Feb 1, 2020",CHASO,74,RADFD,77,W,-9.5,L,134.0,O
5,"Jan 30, 2020",RADFD,67,LONGW,55,W,7.0,W,135.5,U
6,"Jan 25, 2020",HAMPT,79,RADFD,83,W,-9.0,L,147.0,O
7,"Jan 23, 2020",RADFD,67,NCASH,80,L,3.5,L,141.5,O
8,"Jan 20, 2020",WINTH,61,RADFD,56,L,-1.5,L,146.0,U
9,"Jan 18, 2020",RADFD,75,PRESB,64,W,8.0,W,132.0,O
10,"Jan 16, 2020",RADFD,63,USCUP,59,W,8.0,L,139.0,U
11,"Jan 11, 2020",CAMBP,63,RADFD,68,W,-8.5,L,130.0,O
12,"Jan 8, 2020",RADFD,67,G.WEB,64,W,2.5,W,137.5,U
13,"Jan 4, 2020",HIGHP,62,RADFD,73,W,-16.5,L,134.0,O
14,"Dec 29, 2019",CENPEN,45,RADFD,90,W,0.0,,0.0,
15,"Dec 22, 2019",RADFD,73,RICHM,58,W,-7.0,W,137.0,U
16,"Dec 18, 2019",RADFD,68,MISST,77,L,-12.5,W,132.5,O
17,"Dec 14, 2019",DUQU,71,RADFD,49,L,4.5,L,132.5,U
18,"Dec 7, 2019",NCGRE,60,RADFD,58,L,1.5,L,128.0,U
19,"Dec 4, 2019",JMU,71,RADFD,94,W,-8.5,W,152.0,O
20,"Nov 26, 2019",RADFD,63,MONMO,80,L,3.5,L,130.5,O
21,"Nov 22, 2019",RADFD,61,BRAD,70,L,-4.0,L,133.0,U
22,"Nov 19, 2019",RADFD,67,NWEST,56,W,-5.5,W,128.5,U
23,"Nov 15, 2019",RADFD,73,GASOU,76,L,-3.5,W,146.5,O
24,"Nov 12, 2019",BWATR,40,RADFD,91,W,0.0,,0.0,
25,"Nov 8, 2019",RADFD,60,LIBRT,66,L,-6.5,W,131.0,U
26,"Mar 10, 2019",G.WEB,76,RADFD,65,L,-7.0,L,134.0,O
27,"Mar 8, 2019",CHASO,54,RADFD,63,W,-3.0,W,136.5,U
28,"Mar 7, 2019",PRESB,76,RADFD,84,W,-4.0,W,140.0,O
29,"Mar 2, 2019",RADFD,62,CAMBP,64,L,1.5,L,140.5,U
