,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",STJOE,55,RHODEI,73,W,-18.0,P,148.0,U
1,"Feb 11, 2020",RHODEI,67,DAYTN,81,L,-11.0,L,147.0,O
2,"Feb 8, 2020",RHODEI,82,GWASH,51,W,9.0,W,138.0,U
3,"Feb 4, 2020",UMASS,67,RHODEI,73,W,-14.5,L,145.5,U
4,"Jan 31, 2020",VACOM,75,RHODEI,87,W,-1.0,W,142.0,O
5,"Jan 28, 2020",RHODEI,78,GMASN,64,W,4.5,W,139.5,O
6,"Jan 25, 2020",RHODEI,81,STBON,75,W,4.5,W,137.5,O
7,"Jan 22, 2020",DUQU,55,RHODEI,77,W,-3.5,W,137.0,U
8,"Jan 18, 2020",LASAL,63,RHODEI,66,W,-10.0,L,140.0,U
9,"Jan 15, 2020",RHODEI,71,STJOE,61,W,8.0,W,153.5,U
10,"Jan 11, 2020",RHODEI,65,VACOM,56,W,-8.5,W,143.0,U
11,"Jan 8, 2020",DAVID,58,RHODEI,69,W,-3.0,W,142.5,U
12,"Jan 5, 2020",RICHM,69,RHODEI,61,L,-3.0,L,146.0,U
13,"Jan 2, 2020",RHODEI,75,BROWN,85,L,7.5,L,143.5,O
14,"Dec 29, 2019",RHODEI,89,MIDTN,62,W,6.5,W,147.5,O
15,"Dec 21, 2019",W.KEN,82,RHODEI,86,W,-6.5,L,150.0,O
16,"Dec 6, 2019",PROV,61,RHODEI,75,W,2.0,W,142.0,U
17,"Dec 1, 2019",RHODEI,81,W.VA,86,L,-10.5,W,140.5,O
18,"Nov 27, 2019",MANHT,64,RHODEI,73,W,-12.0,L,129.5,O
19,"Nov 24, 2019",LSU,96,RHODEI,83,L,6.5,L,149.0,O
20,"Nov 22, 2019",RHODEI,60,N.TEX,47,W,6.0,W,128.5,U
21,"Nov 19, 2019",NICHL,65,RHODEI,70,W,-12.0,L,144.0,U
22,"Nov 15, 2019",ALA,79,RHODEI,93,W,1.0,W,149.0,O
23,"Nov 9, 2019",RHODEI,55,MARYL,73,L,-12.5,L,145.0,U
24,"Nov 5, 2019",LIU,65,RHODEI,76,W,-15.0,L,147.5,U
25,"Mar 16, 2019",RHODEI,51,STBON,68,L,-2.5,L,126.0,U
26,"Mar 15, 2019",RHODEI,75,VACOM,70,W,-8.0,W,130.0,O
27,"Mar 14, 2019",LASAL,57,RHODEI,76,W,-5.5,W,136.0,U
28,"Mar 9, 2019",UMASS,75,RHODEI,94,W,-8.0,W,137.5,O
29,"Mar 5, 2019",RHODEI,86,STJOE,85,W,-2.5,W,138.0,O
