,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",CHARL,54,RICE,70,W,-1.0,W,144.0,U
1,"Feb 13, 2020",OLDDO,73,RICE,70,L,-1.0,L,141.0,O
2,"Feb 8, 2020",RICE,91,MIDTN,83,W,-1.5,W,151.0,O
3,"Feb 6, 2020",RICE,86,UAB,72,W,-7.0,W,138.5,O
4,"Feb 1, 2020",N.TEX,75,RICE,84,W,8.5,W,140.0,O
5,"Jan 25, 2020",TEXSA,90,RICE,88,L,1.0,L,158.5,O
6,"Jan 23, 2020",UTEP,72,RICE,64,L,3.0,L,141.5,U
7,"Jan 20, 2020",RICE,59,N.TEX,79,L,-13.0,L,137.5,O
8,"Jan 18, 2020",RICE,68,S.MISS,81,L,-1.0,L,141.0,O
9,"Jan 16, 2020",RICE,56,LATEC,72,L,-14.5,L,146.0,U
10,"Jan 11, 2020",FLAIN,78,RICE,92,W,-2.0,W,159.0,O
11,"Jan 9, 2020",FLAAT,81,RICE,76,L,0.0,L,141.5,O
12,"Jan 4, 2020",RICE,61,W.KEN,68,L,-11.0,W,157.0,U
13,"Jan 2, 2020",RICE,69,MARSH,89,L,-9.5,L,160.0,U
14,"Dec 29, 2019",SAMHO,75,RICE,61,L,0.0,L,154.5,U
15,"Dec 19, 2019",STTHOM,70,RICE,103,W,0.0,,0.0,
16,"Dec 14, 2019",HOUBPT,84,RICE,96,W,-10.5,W,173.5,O
17,"Dec 7, 2019",RICE,60,LAMAR,73,L,0.0,,147.5,U
18,"Nov 24, 2019",RICE,77,E.CAR,69,W,1.0,W,148.5,U
19,"Nov 23, 2019",LIBRT,71,RICE,59,L,8.0,L,135.0,U
20,"Nov 22, 2019",RICE,75,WISML,69,W,2.5,W,149.0,U
21,"Nov 19, 2019",HOUST,97,RICE,89,L,13.0,W,145.0,O
22,"Nov 16, 2019",RICE,82,SABAR,81,W,-9.5,W,144.0,O
23,"Nov 12, 2019",RICE,80,NWST,74,W,6.5,L,146.0,O
24,"Nov 10, 2019",WAYLND,40,RICE,65,W,0.0,,0.0,
25,"Nov 9, 2019",PENN,61,RICE,80,W,6.5,W,147.5,U
26,"Nov 5, 2019",RICE,43,ARK,91,L,-18.5,L,156.5,U
27,"Mar 13, 2019",RICE,65,MARSH,82,L,-7.0,L,162.5,U
28,"Mar 9, 2019",CHARL,78,RICE,70,L,-5.5,L,139.0,O
29,"Mar 6, 2019",RICE,79,CHARL,70,W,-2.0,W,137.5,O
