,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",GMASN,50,RICHM,65,W,-11.0,W,142.0,U
1,"Feb 15, 2020",VACOM,59,RICHM,77,W,-1.5,W,143.0,U
2,"Feb 12, 2020",RICHM,74,LASAL,47,W,4.5,W,143.5,U
3,"Feb 8, 2020",RICHM,59,FORDM,53,W,10.0,L,126.0,U
4,"Feb 1, 2020",GWASH,54,RICHM,76,W,-11.0,W,141.0,U
5,"Jan 28, 2020",RICHM,68,VACOM,87,L,-9.5,L,140.0,O
6,"Jan 25, 2020",DAYTN,87,RICHM,79,L,6.5,L,146.0,O
7,"Jan 22, 2020",LASAL,57,RICHM,75,W,-9.0,W,138.0,U
8,"Jan 18, 2020",RICHM,97,GMASN,87,W,2.0,W,134.0,O
9,"Jan 14, 2020",RICHM,70,DAVID,64,W,-5.0,W,134.0,P
10,"Jan 11, 2020",STL,74,RICHM,58,L,-5.5,L,134.0,U
11,"Jan 5, 2020",RICHM,69,RHODEI,61,W,-3.0,W,146.0,U
12,"Jan 2, 2020",STJOE,52,RICHM,84,W,-13.0,W,153.0,U
13,"Dec 29, 2019",RICHM,78,ALA,90,L,-6.5,L,155.0,O
14,"Dec 22, 2019",RADFD,73,RICHM,58,L,-7.0,L,137.0,U
15,"Dec 18, 2019",RICHM,62,OLDDO,59,W,4.0,L,132.0,U
16,"Dec 14, 2019",COLCH,71,RICHM,78,W,-8.5,L,135.5,O
17,"Dec 8, 2019",S.ALA,57,RICHM,75,W,-7.0,W,140.0,U
18,"Dec 3, 2019",RICHM,80,HAMPT,63,W,13.5,W,146.5,U
19,"Nov 30, 2019",BC,44,RICHM,64,W,-5.0,W,139.5,U
20,"Nov 26, 2019",RICHM,65,AUBRN,79,L,-9.5,L,145.5,U
21,"Nov 25, 2019",WISCN,52,RICHM,62,W,6.0,W,135.5,U
22,"Nov 22, 2019",MCNEE,57,RICHM,87,W,-16.5,W,151.0,U
23,"Nov 17, 2019",CSNOR,62,RICHM,90,W,-15.0,W,162.5,U
24,"Nov 14, 2019",VANDY,92,RICHM,93,W,-6.5,L,143.5,O
25,"Nov 8, 2019",STFPA,98,RICHM,100,W,-11.0,L,147.5,O
26,"Mar 14, 2019",RICHM,68,STL,71,L,-5.5,W,134.5,O
27,"Mar 13, 2019",FORDM,50,RICHM,52,W,-4.5,L,134.0,U
28,"Mar 9, 2019",DAVID,73,RICHM,69,L,4.5,W,139.5,O
29,"Mar 6, 2019",RICHM,79,UMASS,87,L,-2.5,L,138.0,O
