,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",QUINN,63,RIDER,79,W,-7.5,W,147.5,U
1,"Feb 14, 2020",RIDER,64,SIENA,73,L,-5.0,L,147.5,U
2,"Feb 9, 2020",NIAGR,58,RIDER,73,W,-9.0,W,143.0,U
3,"Feb 7, 2020",CANIS,60,RIDER,61,W,-7.0,L,149.5,U
4,"Feb 2, 2020",RIDER,84,MONMO,90,L,-1.0,L,148.5,O
5,"Jan 31, 2020",FAIRF,52,RIDER,68,W,-6.0,W,132.5,U
6,"Jan 26, 2020",RIDER,67,MANHT,63,W,0.0,,134.0,U
7,"Jan 24, 2020",STPET,66,RIDER,70,W,-6.0,L,138.0,U
8,"Jan 19, 2020",RIDER,86,CANIS,95,L,2.0,L,146.0,O
9,"Jan 17, 2020",RIDER,68,NIAGR,70,L,6.0,L,145.0,U
10,"Jan 12, 2020",RIDER,69,MARST,52,W,8.5,W,129.5,U
11,"Jan 10, 2020",IONA,69,RIDER,66,L,-6.5,L,153.0,U
12,"Jan 7, 2020",RIDER,61,QUINN,80,L,2.5,L,150.0,U
13,"Jan 5, 2020",SIENA,77,RIDER,85,W,-4.5,W,149.0,O
14,"Dec 31, 2019",RIDER,37,WISCN,65,L,-13.0,L,136.5,U
15,"Dec 21, 2019",RIDER,66,TEMPL,78,L,-9.0,L,147.0,U
16,"Dec 16, 2019",MARST,64,RIDER,74,W,-15.5,L,132.0,O
17,"Dec 14, 2019",LIU,74,RIDER,89,W,-8.5,W,161.0,O
18,"Dec 3, 2019",BUCKN,69,RIDER,89,W,-6.0,W,155.0,O
19,"Nov 24, 2019",RIDER,72,VERMT,67,W,-8.5,W,140.0,U
20,"Nov 23, 2019",RIDER,87,COLUM,63,W,1.5,W,147.5,O
21,"Nov 20, 2019",RIDER,72,UMASS,82,L,-7.0,L,152.0,O
22,"Nov 17, 2019",RIDER,55,ARZST,92,L,-11.5,L,161.0,U
23,"Nov 8, 2019",RIDER,81,DELST,54,W,16.5,W,152.5,U
24,"Nov 5, 2019",RIDER,91,COPIN,84,W,13.5,L,153.0,O
25,"Mar 9, 2019",SIENA,87,RIDER,81,L,-2.5,L,136.0,O
26,"Mar 3, 2019",RIDER,75,MARST,64,W,2.5,W,147.0,U
27,"Mar 1, 2019",IONA,86,RIDER,79,L,-5.0,L,164.5,O
28,"Feb 22, 2019",NIAGR,81,RIDER,97,W,-8.0,W,156.5,O
29,"Feb 17, 2019",RIDER,71,STPET,65,W,6.0,P,135.0,O
