,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",ROBMO,71,STFPA,86,L,-4.5,L,142.0,O
1,"Feb 15, 2020",FDU,72,ROBMO,71,L,-6.5,L,140.0,O
2,"Feb 13, 2020",ROBMO,77,MTSTM,60,W,-2.0,W,125.0,O
3,"Feb 8, 2020",ROBMO,61,SACRD,58,W,-3.5,W,138.5,U
4,"Feb 6, 2020",ROBMO,67,WAGNR,62,W,3.5,W,136.0,U
5,"Feb 1, 2020",CCONN,57,ROBMO,64,W,-16.0,L,138.5,U
6,"Jan 30, 2020",BRYANT,54,ROBMO,64,W,-3.0,W,139.5,U
7,"Jan 25, 2020",ROBMO,71,LIU,66,W,-3.0,W,144.0,U
8,"Jan 23, 2020",ROBMO,57,STFNY,78,L,3.0,L,135.0,P
9,"Jan 20, 2020",SACRD,55,ROBMO,67,W,-3.5,W,143.0,U
10,"Jan 18, 2020",MERRIM,53,ROBMO,49,L,-5.0,L,127.5,U
11,"Jan 11, 2020",WAGNR,62,ROBMO,94,W,-5.5,W,138.0,O
12,"Jan 9, 2020",STFNY,52,ROBMO,78,W,-6.0,W,140.0,U
13,"Jan 4, 2020",ROBMO,69,MERRIM,58,W,-3.0,W,127.0,P
14,"Jan 2, 2020",ROBMO,89,CCONN,78,W,7.0,W,137.0,O
15,"Dec 21, 2019",ROBMO,69,UNLV,81,L,-9.5,L,133.0,O
16,"Dec 17, 2019",CMICH,79,ROBMO,83,W,5.5,W,148.5,O
17,"Dec 7, 2019",ROBMO,64,FLAGC,59,W,-3.0,W,128.0,U
18,"Dec 4, 2019",ROBMO,70,YOUNG,81,L,-7.5,L,131.5,O
19,"Nov 30, 2019",ROBMO,59,CLEST,70,L,1.5,L,127.5,O
20,"Nov 27, 2019",GENEVA,62,ROBMO,102,W,0.0,,0.0,
21,"Nov 23, 2019",ROBMO,62,MARQ,66,L,-24.5,W,136.0,U
22,"Nov 21, 2019",ROBMO,62,ILCHI,72,L,-6.0,L,131.5,O
23,"Nov 16, 2019",ROBMO,56,TOLDO,70,L,-17.0,W,135.0,U
24,"Nov 15, 2019",HOWRD,65,ROBMO,85,W,-6.5,W,136.5,O
25,"Nov 12, 2019",PITT,71,ROBMO,57,L,11.0,L,133.0,U
26,"Nov 9, 2019",ROBMO,57,ND,92,L,-21.0,L,135.5,O
27,"Nov 7, 2019",ROBMO,60,MARSH,67,L,-9.5,W,149.5,U
28,"Mar 24, 2019",PRESB,77,ROBMO,70,L,1.0,L,147.0,P
29,"Mar 19, 2019",CORNL,89,ROBMO,98,W,-1.5,W,135.0,O
