,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",MICH,60,RUTGR,52,L,-4.0,L,133.0,U
1,"Feb 15, 2020",ILL,57,RUTGR,72,W,-4.5,W,128.0,O
2,"Feb 12, 2020",RUTGR,66,OHIOS,72,L,-5.5,L,128.5,O
3,"Feb 9, 2020",NWEST,73,RUTGR,77,W,-10.5,L,129.0,O
4,"Feb 4, 2020",RUTGR,51,MARYL,56,L,-7.5,W,130.0,U
5,"Feb 1, 2020",RUTGR,63,MICH,69,L,-2.0,L,132.5,U
6,"Jan 28, 2020",PURDU,63,RUTGR,70,W,-3.0,W,121.0,O
7,"Jan 25, 2020",NEBRS,72,RUTGR,75,W,-13.5,L,141.5,O
8,"Jan 22, 2020",RUTGR,80,IOWA,85,L,-5.5,W,138.0,O
9,"Jan 19, 2020",MINN,56,RUTGR,64,W,-5.5,W,129.5,U
10,"Jan 15, 2020",INDY,50,RUTGR,59,W,-3.5,W,129.5,U
11,"Jan 11, 2020",RUTGR,51,ILL,54,L,-5.5,W,135.0,U
12,"Jan 7, 2020",PENST,61,RUTGR,72,W,1.5,W,139.5,U
13,"Jan 3, 2020",RUTGR,79,NEBRS,62,W,5.0,W,144.0,U
14,"Dec 30, 2019",CALDW,49,RUTGR,94,W,0.0,,0.0,
15,"Dec 22, 2019",LAFAY,44,RUTGR,63,W,-15.5,W,139.5,U
16,"Dec 14, 2019",SETON,48,RUTGR,68,W,1.5,W,141.0,U
17,"Dec 11, 2019",WISCN,65,RUTGR,72,W,-1.0,W,125.0,O
18,"Dec 8, 2019",RUTGR,65,MICHS,77,L,-14.0,W,141.5,O
19,"Dec 3, 2019",RUTGR,60,PITT,71,L,-2.5,L,128.0,O
20,"Nov 29, 2019",UMASS,57,RUTGR,82,W,-9.0,W,132.5,O
21,"Nov 26, 2019",NJIT,58,RUTGR,85,W,-13.5,W,132.0,O
22,"Nov 20, 2019",SFA,57,RUTGR,69,W,-12.0,P,145.5,U
23,"Nov 16, 2019",STBON,80,RUTGR,74,L,-8.5,L,127.5,O
24,"Nov 13, 2019",DREXL,57,RUTGR,62,W,-14.5,L,143.5,U
25,"Nov 10, 2019",NIAGR,39,RUTGR,86,W,-21.5,W,144.0,U
26,"Nov 7, 2019",BRYANT,71,RUTGR,73,W,-21.5,L,140.5,O
27,"Mar 13, 2019",NEBRS,68,RUTGR,61,L,-1.5,L,136.5,U
28,"Mar 10, 2019",RUTGR,73,INDY,89,L,-7.5,L,132.5,O
29,"Mar 6, 2019",PENST,66,RUTGR,65,L,1.5,W,136.0,U
