,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",SACRD,80,LIU,72,W,-1.5,W,151.0,O
1,"Feb 13, 2020",BRYANT,65,SACRD,74,W,-3.5,W,141.5,U
2,"Feb 8, 2020",ROBMO,61,SACRD,58,L,-3.5,L,138.5,U
3,"Feb 6, 2020",STFPA,70,SACRD,68,L,-3.5,L,149.5,U
4,"Feb 1, 2020",SACRD,83,STFNY,76,W,2.0,W,142.0,O
5,"Jan 30, 2020",MTSTM,53,SACRD,58,W,-4.5,W,132.0,U
6,"Jan 25, 2020",FDU,60,SACRD,77,W,-5.5,W,146.0,U
7,"Jan 23, 2020",SACRD,82,CCONN,54,W,9.0,W,143.5,U
8,"Jan 20, 2020",SACRD,55,ROBMO,67,L,-3.5,L,143.0,U
9,"Jan 18, 2020",SACRD,65,STFPA,72,L,-4.5,L,154.0,U
10,"Jan 15, 2020",CCONN,55,SACRD,66,W,-16.5,L,149.0,U
11,"Jan 9, 2020",SACRD,77,FDU,75,W,1.5,W,152.0,P
12,"Jan 4, 2020",SACRD,81,WAGNR,74,W,3.0,W,150.0,O
13,"Jan 2, 2020",MERRIM,65,SACRD,57,L,-7.5,L,138.0,U
14,"Dec 29, 2019",LAFAY,67,SACRD,66,L,-5.5,L,150.0,U
15,"Dec 22, 2019",SACRD,89,HOLYC,68,W,5.5,W,156.0,O
16,"Dec 15, 2019",SACRD,65,UCF,76,L,-10.0,L,153.0,U
17,"Dec 8, 2019",SACRD,79,HARTF,62,W,3.0,W,151.0,U
18,"Dec 4, 2019",SACRD,89,LOWELL,86,W,-1.0,W,157.0,O
19,"Dec 1, 2019",PMANOR,57,SACRD,101,W,0.0,,0.0,
20,"Nov 24, 2019",SACRD,97,QUINN,80,W,-2.5,W,149.5,O
21,"Nov 23, 2019",ALBNY,72,SACRD,65,L,2.5,L,146.5,U
22,"Nov 22, 2019",PRESB,57,SACRD,83,W,-6.0,W,142.5,U
23,"Nov 19, 2019",BROWN,63,SACRD,84,W,3.0,W,150.0,U
24,"Nov 16, 2019",SACRD,72,BINGH,76,L,5.5,L,145.5,O
25,"Nov 8, 2019",SACRD,67,UCONN,89,L,-16.0,L,152.0,O
26,"Nov 5, 2019",SACRD,60,PROV,106,L,-18.5,L,151.0,O
27,"Mar 6, 2019",LIU,71,SACRD,62,L,-4.0,L,156.0,U
28,"Mar 2, 2019",STFPA,84,SACRD,94,W,-3.0,W,161.0,O
29,"Feb 28, 2019",ROBMO,63,SACRD,87,W,-3.5,W,143.5,O
