,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",STJOE,55,RHODEI,73,L,-18.0,P,148.0,U
1,"Feb 11, 2020",STBON,74,STJOE,56,L,8.0,L,145.5,U
2,"Feb 8, 2020",STJOE,66,LASAL,83,L,-7.5,L,148.0,O
3,"Feb 1, 2020",STL,78,STJOE,73,L,7.5,W,144.0,O
4,"Jan 29, 2020",STJOE,76,UMASS,91,L,-6.5,L,154.5,O
5,"Jan 25, 2020",STJOE,69,GWASH,85,L,-5.0,L,144.5,O
6,"Jan 21, 2020",VACOM,73,STJOE,60,L,12.5,L,147.5,U
7,"Jan 18, 2020",STJOE,87,PENN,81,W,-9.0,W,153.0,O
8,"Jan 15, 2020",RHODEI,71,STJOE,61,L,8.0,L,153.5,U
9,"Jan 11, 2020",STJOE,83,DAVID,89,L,-14.0,W,146.0,O
10,"Jan 8, 2020",DUQU,78,STJOE,60,L,8.0,L,148.5,U
11,"Jan 5, 2020",DAYTN,80,STJOE,67,L,16.5,W,153.0,U
12,"Jan 2, 2020",STJOE,52,RICHM,84,L,-13.0,L,153.0,U
13,"Dec 19, 2019",W&M,69,STJOE,84,W,2.5,W,153.0,P
14,"Dec 10, 2019",STJOE,61,TEMPL,108,L,-11.0,L,147.5,O
15,"Dec 7, 2019",VILLA,78,STJOE,66,L,15.5,W,157.5,U
16,"Dec 3, 2019",LAFAY,94,STJOE,71,L,-6.0,L,151.0,O
17,"Nov 30, 2019",STFPA,79,STJOE,63,L,-6.5,L,153.0,U
18,"Nov 24, 2019",STJOE,64,TOWSN,76,L,1.5,L,148.0,U
19,"Nov 22, 2019",MIZST,71,STJOE,69,L,2.5,W,144.0,U
20,"Nov 21, 2019",FLA,70,STJOE,62,L,13.0,W,146.5,U
21,"Nov 16, 2019",STJOE,68,LOYCH,85,L,-6.0,L,149.5,O
22,"Nov 13, 2019",STJOE,96,UCONN,87,W,-13.5,W,158.0,O
23,"Nov 10, 2019",STJOE,69,OLDDO,82,L,-6.5,L,134.5,O
24,"Nov 5, 2019",BRAD,81,STJOE,86,W,5.0,W,148.0,O
25,"Mar 15, 2019",STJOE,60,DAVID,70,L,-6.5,L,142.0,U
26,"Mar 14, 2019",STJOE,92,DUQU,86,W,2.0,W,149.0,O
27,"Mar 8, 2019",STJOE,63,VACOM,75,L,-11.5,L,141.5,U
28,"Mar 5, 2019",RHODEI,86,STJOE,85,L,-2.5,L,138.0,O
29,"Mar 2, 2019",LASAL,62,STJOE,72,W,-6.5,W,144.0,U
