,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",STL,63,UMASS,67,L,3.0,L,138.5,U
1,"Feb 15, 2020",LASAL,69,STL,84,W,-8.0,W,132.5,O
2,"Feb 8, 2020",STL,65,DAYTN,71,L,-14.0,W,140.5,U
3,"Feb 5, 2020",DUQU,82,STL,68,L,-4.5,L,130.5,O
4,"Feb 1, 2020",STL,78,STJOE,73,W,7.5,L,144.0,O
5,"Jan 29, 2020",STL,77,LASAL,76,W,3.5,L,133.5,O
6,"Jan 26, 2020",FORDM,39,STL,55,W,-15.0,W,119.0,U
7,"Jan 22, 2020",STL,59,DAVID,71,L,-2.5,L,132.5,U
8,"Jan 17, 2020",DAYTN,78,STL,76,L,7.0,W,137.5,O
9,"Jan 11, 2020",STL,74,RICHM,58,W,-5.5,W,134.0,U
10,"Jan 8, 2020",GWASH,58,STL,63,W,-10.5,L,133.5,U
11,"Jan 5, 2020",UMASS,80,STL,83,W,-10.0,L,137.5,O
12,"Jan 2, 2020",STL,59,DUQU,73,L,-2.5,L,131.0,O
13,"Dec 29, 2019",BCOOK,67,STL,77,W,-14.5,L,137.0,O
14,"Dec 21, 2019",KANST,63,STL,66,W,2.0,W,122.5,O
15,"Dec 17, 2019",MARYVL,69,STL,82,W,0.0,,0.0,
16,"Dec 14, 2019",STL,61,AUBRN,67,L,-11.0,W,141.5,U
17,"Dec 8, 2019",TULAN,62,STL,86,W,-4.5,W,133.0,O
18,"Dec 1, 2019",S.ILL,60,STL,69,W,-13.0,L,116.5,O
19,"Nov 27, 2019",STL,64,BC,54,W,-1.5,W,135.5,U
20,"Nov 23, 2019",BELMT,55,STL,60,W,2.0,W,148.0,U
21,"Nov 20, 2019",HIGHP,55,STL,67,W,-22.5,L,126.5,U
22,"Nov 17, 2019",SETON,83,STL,66,L,3.5,L,140.5,O
23,"Nov 13, 2019",EWASH,60,STL,82,W,-8.5,W,141.5,O
24,"Nov 9, 2019",VALPO,70,STL,81,W,-9.5,W,136.0,O
25,"Nov 5, 2019",FLAGC,67,STL,89,W,-7.0,W,133.5,O
26,"Mar 22, 2019",STL,52,VATEC,66,L,-10.0,L,125.5,U
27,"Mar 17, 2019",STL,55,STBON,53,W,-2.0,W,119.5,U
28,"Mar 16, 2019",STL,67,DAVID,44,W,-3.0,W,127.0,U
29,"Mar 15, 2019",STL,64,DAYTN,55,W,-4.0,W,130.5,U
