,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",C.ARK,67,SAMHO,82,W,-8.5,W,152.0,U
1,"Feb 12, 2020",SAMHO,79,SELA,70,W,9.0,P,145.0,O
2,"Feb 8, 2020",SAMHO,82,NICHL,88,L,-2.0,L,143.5,O
3,"Feb 5, 2020",SAMHO,71,INCAR,72,L,13.0,L,142.0,O
4,"Feb 1, 2020",SFA,81,SAMHO,76,L,1.0,L,146.5,O
5,"Jan 29, 2020",TEXCC,61,SAMHO,80,W,-10.0,W,132.5,O
6,"Jan 22, 2020",ABILE,76,SAMHO,82,W,-5.0,W,143.0,O
7,"Jan 18, 2020",SAMHO,95,HOUBPT,75,W,10.5,W,176.5,U
8,"Jan 15, 2020",SAMHO,80,LAMAR,75,W,1.0,W,140.0,O
9,"Jan 11, 2020",SAMHO,82,C.ARK,89,L,6.0,L,155.0,O
10,"Jan 8, 2020",SELA,62,SAMHO,67,W,-12.5,L,150.0,U
11,"Jan 4, 2020",NICHL,70,SAMHO,58,L,-10.0,L,148.0,U
12,"Jan 2, 2020",SAMHO,94,MCNEE,75,W,3.5,W,153.5,O
13,"Dec 29, 2019",SAMHO,75,RICE,61,W,0.0,,154.5,U
14,"Dec 21, 2019",NEWOR,79,SAMHO,87,W,-9.5,L,148.5,O
15,"Dec 18, 2019",NWST,79,SAMHO,92,W,-18.0,L,145.5,O
16,"Dec 15, 2019",WILEY,58,SAMHO,91,W,0.0,,0.0,
17,"Dec 8, 2019",LATEC,68,SAMHO,71,W,5.5,W,145.5,U
18,"Dec 3, 2019",SAMHO,86,UTRGV,90,L,6.0,L,140.5,O
19,"Nov 26, 2019",SAMHO,74,CSBAK,65,W,-4.5,W,137.5,O
20,"Nov 23, 2019",SAMHO,81,SF,90,L,-11.0,W,147.5,O
21,"Nov 20, 2019",LETRNO,58,SAMHO,88,W,0.0,,0.0,
22,"Nov 16, 2019",SAMHO,77,CMICH,84,L,-4.0,L,149.5,O
23,"Nov 8, 2019",SAMHO,58,MISST,67,L,-15.5,W,140.0,U
24,"Nov 5, 2019",PQUIN,57,SAMHO,95,W,0.0,,0.0,
25,"Mar 20, 2019",SAMHO,69,TCU,82,L,-12.0,L,148.5,O
26,"Mar 15, 2019",NEWOR,79,SAMHO,76,L,-6.0,L,138.0,O
27,"Mar 9, 2019",SAMHO,68,SFA,57,W,4.0,W,142.0,U
28,"Mar 6, 2019",C.ARK,91,SAMHO,87,L,-11.5,L,147.5,O
29,"Feb 27, 2019",SAMHO,71,NEWOR,60,W,2.0,W,136.5,U
