,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",SAMFD,66,MERCR,106,L,-7.0,L,151.0,O
1,"Feb 15, 2020",SAMFD,74,CITDL,62,W,1.5,W,164.5,U
2,"Feb 12, 2020",FURMN,86,SAMFD,71,L,11.5,L,154.0,O
3,"Feb 9, 2020",SAMFD,67,NCGRE,95,L,-18.0,L,144.5,O
4,"Feb 5, 2020",W.CAR,78,SAMFD,70,L,4.0,L,165.5,U
5,"Feb 1, 2020",SAMFD,56,WOFFD,80,L,-11.5,L,148.0,U
6,"Jan 29, 2020",CHATT,92,SAMFD,84,L,3.0,L,148.5,O
7,"Jan 25, 2020",NCGRE,70,SAMFD,63,L,12.0,W,147.5,U
8,"Jan 22, 2020",SAMFD,78,FURMN,101,L,-16.5,L,150.5,O
9,"Jan 18, 2020",MERCR,90,SAMFD,75,L,-2.0,L,150.0,O
10,"Jan 15, 2020",SAMFD,63,E.TEN,88,L,-16.5,L,143.5,O
11,"Jan 11, 2020",SAMFD,67,CHATT,105,L,-5.0,L,143.0,O
12,"Jan 8, 2020",WOFFD,67,SAMFD,62,L,5.0,P,149.5,U
13,"Jan 4, 2020",SAMFD,78,VMI,75,W,-1.5,W,147.5,O
14,"Jan 1, 2020",CITDL,68,SAMFD,69,W,-7.5,L,169.5,U
15,"Dec 21, 2019",SAMFD,71,GTOWN,99,L,-18.5,L,161.5,O
16,"Dec 18, 2019",ALA,105,SAMFD,87,L,10.0,L,160.5,O
17,"Dec 15, 2019",SAMFD,73,HAWAI,94,L,-8.0,L,144.0,O
18,"Dec 7, 2019",SAMFD,113,HOUBPT,90,W,4.0,W,165.0,O
19,"Dec 3, 2019",AUBMNT,64,SAMFD,97,W,0.0,,0.0,
20,"Nov 30, 2019",SAMFD,57,LATEC,78,L,-12.0,L,149.0,U
21,"Nov 27, 2019",SAMFD,77,SD.ST,86,L,-5.5,L,146.0,O
22,"Nov 23, 2019",TROY,60,SAMFD,72,W,-8.5,W,142.5,U
23,"Nov 19, 2019",MANHT,57,SAMFD,70,W,-4.0,W,139.0,U
24,"Nov 16, 2019",SAMFD,55,N.ALAB,61,L,3.5,L,149.0,U
25,"Nov 13, 2019",VIRGW,64,SAMFD,102,W,0.0,,0.0,
26,"Nov 11, 2019",SAMFD,63,BELMT,95,L,-9.5,L,157.0,O
27,"Nov 7, 2019",KYWES,42,SAMFD,68,W,-25.5,W,147.5,U
28,"Nov 5, 2019",SAMFD,86,MORHD,90,L,4.5,L,155.5,O
29,"Mar 9, 2019",SAMFD,70,NCGRE,77,L,-7.0,P,143.5,O
