,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",SD.ST,72,BOISE,55,W,5.5,W,138.0,U
1,"Feb 11, 2020",NEWMX,59,SD.ST,82,W,-15.5,W,149.5,U
2,"Feb 8, 2020",SD.ST,89,AIRFO,74,W,12.0,W,141.0,O
3,"Feb 1, 2020",UT.ST,68,SD.ST,80,W,-7.0,W,131.5,O
4,"Jan 29, 2020",SD.ST,85,NEWMX,57,W,11.5,W,140.5,O
5,"Jan 26, 2020",SD.ST,71,UNLV,67,W,7.0,L,133.5,O
6,"Jan 21, 2020",WYOM,55,SD.ST,72,W,-23.0,L,122.5,O
7,"Jan 18, 2020",NEV,55,SD.ST,68,W,-13.5,L,140.0,U
8,"Jan 14, 2020",SD.ST,64,FRSNO,55,W,8.0,W,127.0,U
9,"Jan 11, 2020",BOISE,65,SD.ST,83,W,-11.0,W,134.0,O
10,"Jan 8, 2020",SD.ST,72,WYOM,52,W,15.5,W,119.5,O
11,"Jan 4, 2020",SD.ST,77,UT.ST,68,W,-3.5,W,130.0,O
12,"Jan 1, 2020",FRSNO,52,SD.ST,61,W,-12.5,L,127.0,U
13,"Dec 28, 2019",CALPO,57,SD.ST,73,W,-26.0,L,126.0,O
14,"Dec 21, 2019",SD.ST,80,UTAH,52,W,6.0,W,134.5,U
15,"Dec 8, 2019",SJ.ST,57,SD.ST,59,W,-29.0,L,135.5,U
16,"Dec 4, 2019",SD.ST,79,COLST,57,W,5.5,W,134.5,O
17,"Nov 29, 2019",IOWA,73,SD.ST,83,W,-3.0,W,137.5,O
18,"Nov 28, 2019",CREIG,52,SD.ST,83,W,-2.5,W,139.5,U
19,"Nov 25, 2019",TN.ST,49,SD.ST,62,W,-17.5,L,134.5,U
20,"Nov 22, 2019",LIU,64,SD.ST,81,W,-18.5,L,144.5,O
21,"Nov 20, 2019",SD.ST,66,SD,49,W,7.5,W,127.5,U
22,"Nov 13, 2019",GRCNYN,61,SD.ST,86,W,-12.0,W,133.5,O
23,"Nov 9, 2019",SD.ST,76,BYU,71,W,-3.5,W,141.5,O
24,"Nov 5, 2019",TEXSO,42,SD.ST,77,W,-15.0,W,153.0,U
25,"Mar 16, 2019",SD.ST,57,UT.ST,64,L,-6.0,L,133.5,U
26,"Mar 15, 2019",SD.ST,65,NEV,56,W,-10.5,W,141.5,U
27,"Mar 14, 2019",SD.ST,63,UNLV,55,W,2.0,W,136.5,U
28,"Mar 9, 2019",SD.ST,53,NEV,81,L,-14.0,L,146.0,U
29,"Mar 6, 2019",FRSNO,76,SD.ST,74,L,-3.5,L,137.0,O
