,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",BYU,72,SD,71,L,13.5,W,144.5,U
1,"Feb 13, 2020",SD,69,PEPPR,72,L,-9.0,W,146.5,U
2,"Feb 8, 2020",PORTL,81,SD,88,W,-7.0,P,136.5,O
3,"Feb 6, 2020",STMAR,66,SD,60,L,11.0,W,133.0,U
4,"Feb 1, 2020",SD,58,PACIF,66,L,-9.5,W,129.0,U
5,"Jan 30, 2020",SF,69,SD,44,L,5.5,L,141.5,U
6,"Jan 25, 2020",SACLA,65,SD,52,L,2.5,L,143.0,U
7,"Jan 18, 2020",SD,77,PORTL,67,W,1.0,W,136.0,O
8,"Jan 16, 2020",SD,70,BYU,93,L,-15.0,L,141.5,O
9,"Jan 11, 2020",PEPPR,85,SD,78,L,2.0,L,143.5,O
10,"Jan 9, 2020",GONZG,94,SD,50,L,15.5,L,146.0,U
11,"Jan 4, 2020",SD,63,SACLA,80,L,-6.5,L,140.5,O
12,"Jan 2, 2020",SD,58,LOYMA,64,L,2.0,L,129.0,U
13,"Dec 29, 2019",WHITR,67,SD,93,W,0.0,,0.0,
14,"Dec 21, 2019",SD,59,STANF,62,L,-10.0,W,129.5,U
15,"Dec 14, 2019",UCDAV,54,SD,58,W,-7.0,L,134.5,U
16,"Dec 11, 2019",SD,66,FULLR,54,W,2.5,W,132.5,U
17,"Dec 7, 2019",HOLYC,51,SD,68,W,-14.5,W,144.0,U
18,"Dec 2, 2019",ILCHI,89,SD,83,L,-3.5,L,133.5,O
19,"Dec 1, 2019",SD,61,STBON,70,L,-3.5,L,123.5,O
20,"Nov 27, 2019",HOFST,69,SD,79,W,1.0,W,143.0,O
21,"Nov 24, 2019",SD,69,WASH,88,L,-15.0,L,129.0,O
22,"Nov 20, 2019",SD.ST,66,SD,49,L,7.5,L,127.5,U
23,"Nov 16, 2019",SD,53,COLO,71,L,-18.0,P,139.0,U
24,"Nov 14, 2019",SD,71,WEBER,56,W,-2.5,W,136.5,U
25,"Nov 12, 2019",FRSNO,66,SD,72,W,2.5,W,136.5,O
26,"Nov 9, 2019",SD,62,LONGB,74,L,2.5,L,142.0,U
27,"Nov 5, 2019",UCI,76,SD,73,L,5.5,W,133.5,O
28,"Mar 19, 2019",SD,60,MEMPH,74,L,-7.0,L,155.5,U
29,"Mar 11, 2019",SD,62,STMAR,69,L,-4.5,L,127.0,O
