,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",SJ.ST,86,AIRFO,95,L,-9.5,W,154.5,O
1,"Feb 12, 2020",FRSNO,84,SJ.ST,78,L,7.0,W,145.5,O
2,"Feb 8, 2020",SJ.ST,77,NEV,95,L,-15.5,L,155.0,O
3,"Feb 1, 2020",WYOM,71,SJ.ST,66,L,-4.0,L,134.5,O
4,"Jan 29, 2020",SJ.ST,71,BOISE,99,L,-16.5,L,153.0,O
5,"Jan 25, 2020",AIRFO,81,SJ.ST,90,W,3.5,W,150.5,O
6,"Jan 21, 2020",SJ.ST,59,NEWMX,86,L,-8.5,L,160.5,U
7,"Jan 15, 2020",SJ.ST,87,UNLV,98,L,-12.0,W,139.5,O
8,"Jan 11, 2020",COLST,81,SJ.ST,70,L,6.5,L,144.5,O
9,"Jan 8, 2020",NEV,68,SJ.ST,70,W,10.0,W,151.5,U
10,"Jan 4, 2020",SJ.ST,64,FRSNO,79,L,-12.0,L,137.5,O
11,"Jan 1, 2020",NEWMX,85,SJ.ST,88,W,10.0,W,153.0,O
12,"Dec 28, 2019",PEPPR,68,SJ.ST,83,W,10.0,W,157.0,U
13,"Dec 22, 2019",UCRIV,80,SJ.ST,65,L,3.5,L,132.5,O
14,"Dec 18, 2019",SJ.ST,84,SACLA,89,L,-15.5,W,146.5,O
15,"Dec 14, 2019",STANF,78,SJ.ST,58,L,16.5,L,136.0,P
16,"Dec 8, 2019",SJ.ST,57,SD.ST,59,L,-29.0,W,135.5,U
17,"Dec 4, 2019",UT.ST,71,SJ.ST,59,L,22.5,W,150.0,U
18,"Dec 1, 2019",SJ.ST,64,UCLA,93,L,-22.5,L,134.5,O
19,"Nov 27, 2019",SJ.ST,48,OREST,83,L,-20.5,L,142.5,U
20,"Nov 23, 2019",PORST,91,SJ.ST,76,L,3.0,L,149.5,O
21,"Nov 20, 2019",GRAMB,76,SJ.ST,83,W,-2.5,W,141.0,O
22,"Nov 17, 2019",SIMPSO,60,SJ.ST,85,W,0.0,,0.0,
23,"Nov 14, 2019",SJ.ST,39,ARIZ,87,L,-31.0,L,144.0,U
24,"Nov 10, 2019",PORTL,72,SJ.ST,57,L,-3.5,L,135.5,U
25,"Nov 6, 2019",SJ.ST,79,HOFST,71,W,-18.0,W,154.5,U
26,"Mar 13, 2019",SJ.ST,56,AIRFO,87,L,-11.0,L,146.5,U
27,"Mar 9, 2019",SJ.ST,81,FRSNO,121,L,-22.5,L,145.0,O
28,"Mar 6, 2019",WYOM,81,SJ.ST,71,L,2.5,L,139.5,O
29,"Mar 2, 2019",SJ.ST,56,SD.ST,84,L,-21.0,L,140.0,P
