,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",LOYMA,65,SACLA,59,L,-7.0,L,135.0,U
1,"Feb 13, 2020",SF,70,SACLA,61,L,2.0,L,147.5,U
2,"Feb 6, 2020",SACLA,77,PEPPR,91,L,-3.0,L,156.5,O
3,"Feb 1, 2020",SACLA,85,PORTL,61,W,6.0,W,144.5,O
4,"Jan 30, 2020",GONZG,87,SACLA,72,L,18.0,W,157.0,O
5,"Jan 25, 2020",SACLA,65,SD,52,W,2.5,W,143.0,U
6,"Jan 23, 2020",PEPPR,90,SACLA,86,L,-4.0,L,155.0,O
7,"Jan 18, 2020",PACIF,80,SACLA,84,W,-3.5,W,132.5,O
8,"Jan 16, 2020",SACLA,54,GONZG,104,L,-20.0,L,155.0,O
9,"Jan 11, 2020",SACLA,67,STMAR,66,W,-12.5,W,141.5,U
10,"Jan 9, 2020",SACLA,61,SF,80,L,-6.0,L,153.5,U
11,"Jan 4, 2020",SD,63,SACLA,80,W,-6.5,W,140.5,O
12,"Dec 29, 2019",ALCRN,57,SACLA,92,W,-16.0,W,144.0,O
13,"Dec 20, 2019",MSVAL,71,SACLA,100,W,-27.0,W,154.5,O
14,"Dec 18, 2019",SJ.ST,84,SACLA,89,W,-15.5,L,146.5,O
15,"Dec 14, 2019",SACRA,58,SACLA,60,W,-6.5,L,133.0,U
16,"Dec 7, 2019",CAL,52,SACLA,71,W,-4.5,W,137.5,U
17,"Dec 4, 2019",SACLA,67,NEV,98,L,-5.5,L,151.5,O
18,"Nov 30, 2019",FULLR,55,SACLA,70,W,-10.0,W,137.5,U
19,"Nov 29, 2019",SEMIZ,75,SACLA,87,W,-14.5,L,142.0,O
20,"Nov 27, 2019",DENVR,64,SACLA,81,W,-15.0,W,141.5,O
21,"Nov 22, 2019",ID.ST,65,SACLA,78,W,-14.0,L,136.0,O
22,"Nov 19, 2019",NAMUR,54,SACLA,101,W,0.0,,0.0,
23,"Nov 16, 2019",SACLA,64,STANF,82,L,-7.5,L,137.5,O
24,"Nov 12, 2019",WASST,62,SACLA,70,W,-3.0,W,135.0,U
25,"Nov 8, 2019",CALPO,63,SACLA,77,W,-16.0,L,142.0,U
26,"Nov 5, 2019",UCSCRUZ,52,SACLA,97,W,0.0,,0.0,
27,"Mar 8, 2019",SD,62,SACLA,45,L,5.5,L,133.5,U
28,"Mar 2, 2019",SACLA,78,PORTL,62,W,3.5,W,133.5,O
29,"Feb 28, 2019",SACLA,70,LOYMA,72,L,-8.0,W,126.0,O
