,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",SEATT,72,UTRGV,79,L,-2.0,L,146.0,O
1,"Feb 13, 2020",SEATT,64,NMXST,72,L,-10.0,W,134.0,O
2,"Feb 8, 2020",SEATT,87,UTVAL,85,W,-1.0,W,144.0,O
3,"Feb 1, 2020",CALBAP,72,SEATT,65,L,-1.5,L,146.0,U
4,"Jan 25, 2020",SEATT,86,CSBAK,79,W,-1.5,W,134.0,O
5,"Jan 23, 2020",SEATT,77,GRCNYN,80,L,-2.0,L,138.5,O
6,"Jan 18, 2020",NMXST,75,SEATT,67,L,4.0,L,133.5,O
7,"Jan 16, 2020",UTRGV,74,SEATT,91,W,-7.0,W,138.0,O
8,"Jan 11, 2020",UTVAL,50,SEATT,83,W,-5.0,W,141.5,U
9,"Jan 4, 2020",SEATT,86,CHIST,54,W,13.5,W,144.5,U
10,"Jan 2, 2020",SEATT,86,UMKC,90,L,-3.0,L,136.5,O
11,"Dec 28, 2019",SEATT,58,STMAR,84,L,-18.5,L,134.0,O
12,"Dec 23, 2019",LONGB,57,SEATT,79,W,-5.5,W,139.5,U
13,"Dec 21, 2019",FLA&M,71,SEATT,57,L,-13.5,L,133.5,U
14,"Dec 17, 2019",SEATT,59,WASH,81,L,-15.5,L,140.0,P
15,"Dec 7, 2019",PORTL,71,SEATT,73,W,-5.0,L,134.0,O
16,"Dec 3, 2019",INCAR,60,SEATT,81,W,-16.5,W,130.0,O
17,"Nov 30, 2019",IDAHO,55,SEATT,74,W,-12.5,W,131.5,U
18,"Nov 26, 2019",WMICH,55,SEATT,59,W,0.0,W,135.5,U
19,"Nov 25, 2019",SEATT,70,BUCKN,77,L,-3.5,L,141.0,O
20,"Nov 19, 2019",SEATT,52,MISS,65,L,-18.5,W,133.5,U
21,"Nov 16, 2019",SEATT,67,SYRA,89,L,-16.5,L,128.5,O
22,"Nov 12, 2019",PACFOR,81,SEATT,115,W,0.0,,0.0,
23,"Nov 9, 2019",EWASH,74,SEATT,66,L,-2.5,L,142.0,U
24,"Nov 7, 2019",SEATT,54,WASST,85,L,-3.0,L,138.0,O
25,"Nov 5, 2019",PACLU,64,SEATT,98,W,0.0,,0.0,
26,"Mar 20, 2019",PRESB,73,SEATT,68,L,-5.0,L,153.0,U
27,"Mar 14, 2019",SEATT,75,GRCNYN,84,L,-6.0,L,137.5,O
28,"Mar 9, 2019",GRCNYN,76,SEATT,83,W,3.0,W,137.0,O
29,"Mar 7, 2019",CSBAK,57,SEATT,63,W,-4.0,W,134.0,U
