,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",BUTLR,72,SETON,74,W,-5.5,L,134.0,O
1,"Feb 15, 2020",SETON,71,PROV,74,L,1.0,L,138.0,O
2,"Feb 12, 2020",CREIG,87,SETON,82,L,-5.5,L,145.5,O
3,"Feb 8, 2020",SETON,70,VILLA,64,W,-4.0,W,139.0,U
4,"Feb 5, 2020",SETON,78,GTOWN,71,W,4.5,W,147.0,O
5,"Feb 1, 2020",XAVIR,74,SETON,62,L,-8.5,L,139.0,U
6,"Jan 29, 2020",DPAUL,57,SETON,64,W,-9.5,L,143.0,U
7,"Jan 22, 2020",PROV,64,SETON,73,W,-9.0,P,136.0,O
8,"Jan 18, 2020",SETON,82,STJON,79,W,4.5,L,142.5,O
9,"Jan 15, 2020",SETON,78,BUTLR,70,W,-4.5,W,129.0,O
10,"Jan 11, 2020",MARQ,55,SETON,69,W,-5.5,W,145.5,U
11,"Jan 8, 2020",SETON,83,XAVIR,71,W,-3.5,W,139.0,O
12,"Jan 3, 2020",GTOWN,62,SETON,78,W,-6.5,W,148.0,U
13,"Dec 30, 2019",SETON,74,DPAUL,66,W,1.5,W,137.5,O
14,"Dec 22, 2019",PVA&M,55,SETON,75,W,-17.5,W,141.0,U
15,"Dec 19, 2019",MARYL,48,SETON,52,W,7.0,W,138.5,U
16,"Dec 14, 2019",SETON,48,RUTGR,68,L,1.5,L,141.0,U
17,"Dec 8, 2019",SETON,66,IOWAS,76,L,-3.0,L,151.5,U
18,"Nov 29, 2019",IOWAS,76,SETON,84,W,-2.0,W,151.0,O
19,"Nov 28, 2019",S.MISS,56,SETON,81,W,-17.5,W,139.5,U
20,"Nov 27, 2019",SETON,69,OREG,71,L,-1.0,L,140.0,P
21,"Nov 23, 2019",FLA&M,51,SETON,87,W,-30.5,W,139.5,U
22,"Nov 17, 2019",SETON,83,STL,66,W,3.5,W,140.5,O
23,"Nov 14, 2019",MICHS,76,SETON,73,L,5.5,W,139.5,O
24,"Nov 9, 2019",STONY,57,SETON,74,W,-20.5,L,142.0,U
25,"Nov 5, 2019",WAGNR,71,SETON,105,W,-29.0,W,137.0,O
26,"Mar 21, 2019",SETON,68,WOFFD,84,L,-3.0,L,145.0,O
27,"Mar 16, 2019",SETON,72,VILLA,74,L,-4.5,W,135.0,O
28,"Mar 15, 2019",SETON,81,MARQ,79,W,-4.5,W,142.0,O
29,"Mar 14, 2019",GTOWN,57,SETON,73,W,-3.5,W,151.0,U
