,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",ULMON,49,S.ALA,50,W,-10.5,L,130.0,U
1,"Feb 13, 2020",ULLAF,75,S.ALA,78,W,-6.0,L,142.0,O
2,"Feb 7, 2020",S.ALA,70,TROY,66,W,4.0,P,140.0,U
3,"Feb 1, 2020",S.ALA,79,GASOU,69,W,-4.5,W,143.0,O
4,"Jan 30, 2020",S.ALA,73,GAST,76,L,-5.5,W,143.5,O
5,"Jan 25, 2020",ARKLR,73,S.ALA,71,L,-2.0,L,134.5,O
6,"Jan 23, 2020",S.ALA,71,ARKST,75,L,2.5,L,133.5,O
7,"Jan 18, 2020",GASOU,68,S.ALA,74,W,-1.5,W,136.5,O
8,"Jan 16, 2020",GAST,72,S.ALA,63,L,-2.0,L,141.5,U
9,"Jan 11, 2020",S.ALA,52,ARKLR,43,W,-2.0,W,136.0,U
10,"Jan 9, 2020",ARKST,59,S.ALA,75,W,-6.5,W,134.5,U
11,"Jan 6, 2020",S.ALA,66,TEXAR,54,W,-6.0,W,138.5,U
12,"Jan 4, 2020",S.ALA,49,ULMON,69,L,2.5,L,134.5,U
13,"Jan 2, 2020",S.ALA,60,ULLAF,57,W,3.0,P,148.5,U
14,"Dec 28, 2019",MOBILE,47,S.ALA,76,W,0.0,,0.0,
15,"Dec 21, 2019",COCAR,81,S.ALA,69,L,-4.0,L,148.0,O
16,"Dec 19, 2019",APPST,81,S.ALA,71,L,-5.0,L,140.0,O
17,"Dec 17, 2019",ALA&M,79,S.ALA,89,W,-18.5,L,139.5,O
18,"Dec 8, 2019",S.ALA,57,RICHM,75,L,-7.0,L,140.0,U
19,"Nov 27, 2019",S.ALA,76,LASAL,81,L,5.0,L,136.5,O
20,"Nov 26, 2019",S.ALA,82,MIAOH,71,W,1.5,W,133.5,O
21,"Nov 25, 2019",NEAST,62,S.ALA,74,W,3.0,W,137.0,U
22,"Nov 19, 2019",SPRNG,72,S.ALA,98,W,-42.5,L,159.5,O
23,"Nov 15, 2019",S.ALA,72,CHATT,90,L,4.0,L,137.0,O
24,"Nov 12, 2019",AUBRN,70,S.ALA,69,L,7.0,W,145.0,U
25,"Nov 9, 2019",S.MISS,69,S.ALA,75,W,-9.0,L,139.5,O
26,"Nov 6, 2019",PIKEV,51,S.ALA,82,W,0.0,,0.0,
27,"Mar 15, 2019",S.ALA,67,TEXST,79,L,-6.5,L,132.0,O
28,"Mar 14, 2019",S.ALA,70,ULLAF,69,W,-2.5,W,151.0,U
29,"Mar 12, 2019",ARKST,67,S.ALA,75,W,-4.5,W,142.0,P
