,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",MORGN,78,SC.ST,72,L,-1.5,L,140.0,O
1,"Feb 15, 2020",COPIN,66,SC.ST,70,W,-2.5,W,146.5,U
2,"Feb 10, 2020",DELST,86,SC.ST,100,W,-10.0,W,151.5,O
3,"Feb 3, 2020",SC.ST,63,NCA&T,78,L,-7.5,L,148.5,U
4,"Feb 1, 2020",SC.ST,56,NCCEN,73,L,-6.0,L,132.5,U
5,"Jan 27, 2020",BCOOK,78,SC.ST,74,L,1.0,L,154.0,U
6,"Jan 25, 2020",SC.ST,62,NORFK,73,L,-6.5,L,134.5,O
7,"Jan 20, 2020",MD-ES,53,SC.ST,68,W,-9.5,W,134.5,U
8,"Jan 18, 2020",FLA&M,65,SC.ST,81,W,-2.0,W,139.5,O
9,"Jan 13, 2020",SC.ST,101,HOWRD,95,W,5.0,W,147.0,O
10,"Jan 6, 2020",SC.ST,63,MORGN,77,L,-5.5,L,142.5,U
11,"Jan 4, 2020",SC.ST,79,COPIN,75,W,-4.5,W,146.5,O
12,"Dec 30, 2019",SC.ST,58,JAXVL,52,W,-10.5,W,137.5,U
13,"Dec 21, 2019",SC.ST,61,COLCH,73,L,-16.0,W,139.5,U
14,"Dec 18, 2019",USCUP,73,SC.ST,70,L,-5.5,L,142.5,O
15,"Dec 11, 2019",NCASH,85,SC.ST,90,W,5.5,W,147.5,O
16,"Dec 7, 2019",PRESB,68,SC.ST,80,W,-1.5,W,133.0,O
17,"Nov 27, 2019",SC.ST,47,TULSA,78,L,-21.5,L,137.5,U
18,"Nov 25, 2019",SC.ST,66,APEAY,92,L,-15.5,L,146.0,O
19,"Nov 22, 2019",SC.ST,60,VANDY,97,L,-18.0,L,142.5,O
20,"Nov 18, 2019",WLBFRC,79,SC.ST,103,W,0.0,,0.0,
21,"Nov 12, 2019",SC.ST,39,LIBRT,65,L,-18.0,L,135.5,U
22,"Nov 8, 2019",BOBJON,64,SC.ST,79,W,0.0,,0.0,
23,"Nov 5, 2019",SC.ST,64,MEMPH,97,L,-26.0,L,156.0,O
24,"Mar 13, 2019",SC.ST,73,NORFK,78,L,-10.0,W,143.5,O
25,"Mar 12, 2019",MD-ES,54,SC.ST,63,W,-5.5,W,131.0,U
26,"Mar 7, 2019",SAVAN,90,SC.ST,87,L,-4.5,L,158.0,O
27,"Mar 2, 2019",SC.ST,95,BCOOK,98,L,-9.0,W,144.5,O
28,"Feb 25, 2019",SC.ST,62,NCCEN,72,L,-7.5,L,140.0,U
29,"Feb 23, 2019",SC.ST,62,NCA&T,63,L,-6.0,W,141.0,U
