,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",S.CAR,76,MISST,79,L,-5.5,W,145.0,O
1,"Feb 15, 2020",TENN,61,S.CAR,63,W,-3.0,L,137.5,U
2,"Feb 12, 2020",S.CAR,75,GA,59,W,-2.5,W,153.5,U
3,"Feb 8, 2020",TEXAM,54,S.CAR,74,W,-7.0,W,132.5,U
4,"Feb 5, 2020",S.CAR,70,MISS,84,L,-2.0,L,142.5,O
5,"Feb 1, 2020",MIZZU,54,S.CAR,76,W,-5.5,W,138.5,U
6,"Jan 29, 2020",S.CAR,79,ARK,77,W,-7.0,W,142.5,O
7,"Jan 25, 2020",VANDY,64,S.CAR,90,W,-12.5,W,140.0,O
8,"Jan 22, 2020",S.CAR,67,AUBRN,80,L,-11.5,L,147.0,P
9,"Jan 18, 2020",S.CAR,81,TEXAM,67,W,-1.5,W,128.5,O
10,"Jan 15, 2020",KENTY,78,S.CAR,81,W,6.0,W,136.0,O
11,"Jan 11, 2020",S.CAR,55,TENN,56,L,-7.0,W,132.0,U
12,"Jan 7, 2020",FLA,81,S.CAR,68,L,4.5,L,136.5,O
13,"Dec 30, 2019",STETS,63,S.CAR,56,L,-23.0,L,137.5,U
14,"Dec 22, 2019",S.CAR,70,VIRGA,59,W,-10.5,W,111.5,O
15,"Dec 15, 2019",S.CAR,67,CLEMS,54,W,-6.0,W,136.5,U
16,"Dec 8, 2019",HOUST,76,S.CAR,56,L,2.5,L,145.0,U
17,"Dec 4, 2019",S.CAR,84,UMASS,80,W,1.5,W,140.5,O
18,"Dec 1, 2019",GWASH,65,S.CAR,74,W,-13.5,L,139.0,P
19,"Nov 27, 2019",S.CAR,72,NIOWA,78,L,1.5,L,126.0,O
20,"Nov 26, 2019",WICHI,70,S.CAR,47,L,4.0,L,129.5,U
21,"Nov 22, 2019",G.WEB,69,S.CAR,74,W,-15.0,L,136.0,O
22,"Nov 19, 2019",BOSTU,78,S.CAR,70,L,-15.5,L,139.0,O
23,"Nov 15, 2019",CLEST,63,S.CAR,90,W,-24.0,W,133.0,O
24,"Nov 10, 2019",WYOM,32,S.CAR,66,W,-17.0,W,134.0,U
25,"Nov 6, 2019",N.ALAB,55,S.CAR,77,W,-20.0,W,146.5,U
26,"Mar 15, 2019",AUBRN,73,S.CAR,64,L,8.0,L,146.0,U
27,"Mar 9, 2019",GA,46,S.CAR,66,W,-6.0,W,144.0,U
28,"Mar 5, 2019",S.CAR,71,TEXAM,54,W,-4.0,W,144.0,U
29,"Mar 2, 2019",S.CAR,63,MIZZU,78,L,-2.0,L,135.0,O
