,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",SD.ST,94,NDAKOT,83,W,3.5,W,150.0,O
1,"Feb 16, 2020",IPFW,64,SD.ST,75,W,-10.5,W,144.0,U
2,"Feb 14, 2020",DENVR,78,SD.ST,90,W,-14.0,L,150.5,O
3,"Feb 8, 2020",NEBOM,0,SD.ST,0,T,0.0,,0.0,
4,"Feb 1, 2020",SD.ST,71,W.ILL,61,W,9.5,W,155.0,U
5,"Jan 29, 2020",SD.ST,76,ORALR,61,W,-4.5,W,154.5,U
6,"Jan 22, 2020",ND.ST,73,SD.ST,78,W,-3.5,W,142.0,O
7,"Jan 19, 2020",SD.ST,84,SDKOTA,99,L,-1.5,L,149.0,O
8,"Jan 15, 2020",NDAKOT,66,SD.ST,87,W,-8.0,W,146.0,O
9,"Jan 11, 2020",SD.ST,70,IPFW,61,W,2.0,W,144.0,U
10,"Jan 8, 2020",SD.ST,80,DENVR,68,W,6.5,W,145.5,O
11,"Jan 4, 2020",W.ILL,56,SD.ST,91,W,-12.0,W,155.5,U
12,"Jan 2, 2020",ORALR,79,SD.ST,96,W,-2.5,W,148.0,O
13,"Dec 29, 2019",SD.ST,78,NEBOM,81,L,-1.0,L,147.5,O
14,"Dec 21, 2019",IDAHO,57,SD.ST,85,W,-14.0,W,141.5,O
15,"Dec 18, 2019",FLAGC,56,SD.ST,75,W,-12.0,W,133.0,U
16,"Dec 13, 2019",NBRKY,53,SD.ST,66,W,0.0,,0.0,
17,"Dec 10, 2019",SD.ST,68,COLST,72,L,-7.0,W,144.5,U
18,"Dec 5, 2019",SD.ST,70,MONST,77,L,1.5,L,141.0,O
19,"Nov 30, 2019",SD.ST,50,INDY,64,L,-18.5,W,152.0,U
20,"Nov 27, 2019",SAMFD,77,SD.ST,86,W,-5.5,W,146.0,O
21,"Nov 24, 2019",MSVAL,54,SD.ST,84,W,-27.5,W,160.5,U
22,"Nov 21, 2019",SD.ST,64,ARIZ,71,L,-25.0,W,146.0,U
23,"Nov 19, 2019",N.ALAB,73,SD.ST,78,W,-9.5,L,143.5,O
24,"Nov 15, 2019",SD.ST,73,NEBRS,90,L,-6.5,L,148.5,O
25,"Nov 12, 2019",SD.ST,66,USC,84,L,-14.0,L,150.0,P
26,"Nov 9, 2019",SD.ST,93,CSBAK,91,W,-3.0,W,140.5,O
27,"Nov 7, 2019",PERUST,58,SD.ST,86,W,0.0,,0.0,
28,"Nov 5, 2019",UTRGV,57,SD.ST,70,W,-5.0,W,152.5,U
29,"Mar 19, 2019",SD.ST,73,TEXAS,79,L,-8.0,W,154.0,U
