,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",SDKOTA,80,ORALR,94,L,-3.0,L,159.0,O
1,"Feb 12, 2020",W.ILL,72,SDKOTA,85,W,-14.5,L,157.5,U
2,"Feb 8, 2020",SDKOTA,82,NDAKOT,68,W,1.5,W,154.5,U
3,"Feb 4, 2020",PERUST,45,SDKOTA,106,W,0.0,,0.0,
4,"Feb 2, 2020",SDKOTA,81,NEBOM,80,W,-1.0,W,154.5,O
5,"Jan 30, 2020",SDKOTA,93,DENVR,87,W,6.5,L,153.0,O
6,"Jan 25, 2020",ORALR,80,SDKOTA,91,W,-2.0,W,152.0,O
7,"Jan 23, 2020",IPFW,60,SDKOTA,83,W,-8.0,W,146.0,U
8,"Jan 19, 2020",SD.ST,84,SDKOTA,99,W,-1.5,W,149.0,O
9,"Jan 15, 2020",SDKOTA,70,ND.ST,72,L,-6.5,W,142.0,P
10,"Jan 11, 2020",NEBOM,81,SDKOTA,91,W,-4.0,W,148.0,O
11,"Jan 5, 2020",DENVR,78,SDKOTA,80,W,-12.5,L,143.5,O
12,"Jan 1, 2020",SDKOTA,59,IPFW,70,L,1.5,L,145.5,U
13,"Dec 29, 2019",SDKOTA,75,W.ILL,82,L,6.0,L,148.0,O
14,"Dec 22, 2019",UMKC,78,SDKOTA,75,L,-7.5,L,137.0,O
15,"Dec 20, 2019",NCOLO,87,SDKOTA,68,L,-1.5,L,136.0,O
16,"Dec 14, 2019",MAYVL,60,SDKOTA,96,W,0.0,,0.0,
17,"Dec 9, 2019",ALAST,59,SDKOTA,73,W,-14.0,P,137.5,U
18,"Dec 6, 2019",MOUMAR,79,SDKOTA,94,W,0.0,,0.0,
19,"Dec 2, 2019",SDKOTA,55,WASH,75,L,-13.5,L,141.0,U
20,"Nov 30, 2019",SDKOTA,72,NARIZ,76,L,6.0,L,145.5,O
21,"Nov 27, 2019",SDKOTA,84,CALBAP,83,W,1.5,L,146.0,O
22,"Nov 22, 2019",SDKOTA,56,ARK,77,L,-15.5,L,138.0,U
23,"Nov 18, 2019",SIUED,56,SDKOTA,71,W,-14.5,W,141.0,U
24,"Nov 15, 2019",TEXSO,69,SDKOTA,88,W,-11.5,W,152.5,O
25,"Nov 11, 2019",FLA&M,82,SDKOTA,85,W,-17.0,L,131.0,O
26,"Nov 10, 2019",SDKOTA,81,HAWAI,75,W,-1.5,W,137.0,O
27,"Nov 8, 2019",SDKOTA,72,PACIF,62,W,5.5,W,133.5,O
28,"Mar 10, 2019",SDKOTA,70,IPFW,96,L,1.0,L,154.0,O
29,"Mar 2, 2019",NDAKOT,63,SDKOTA,78,W,-6.5,W,143.5,U
