,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",TULSA,56,S.FLA,48,L,-3.0,L,122.0,U
1,"Feb 12, 2020",HOUST,62,S.FLA,58,L,5.5,W,126.5,U
2,"Feb 8, 2020",S.FLA,75,MEMPH,73,W,-8.0,W,127.0,O
3,"Feb 1, 2020",UCF,48,S.FLA,64,W,-2.0,W,125.0,U
4,"Jan 29, 2020",S.FLA,66,TULAN,52,W,1.0,W,127.5,U
5,"Jan 26, 2020",S.FLA,49,HOUST,68,L,-13.5,L,127.0,U
6,"Jan 21, 2020",WICHI,56,S.FLA,43,L,5.0,L,126.5,U
7,"Jan 18, 2020",S.FLA,54,UCF,55,L,-4.0,W,124.5,U
8,"Jan 12, 2020",MEMPH,68,S.FLA,64,L,3.5,L,134.0,U
9,"Jan 7, 2020",S.FLA,59,E.CAR,62,L,3.5,L,135.0,U
10,"Jan 4, 2020",UCONN,60,S.FLA,75,W,3.0,W,124.0,O
11,"Jan 1, 2020",S.FLA,64,SMU,82,L,-8.5,L,126.0,O
12,"Dec 29, 2019",FLAAT,58,S.FLA,60,W,-8.0,L,125.0,U
13,"Dec 21, 2019",S.FLA,60,FLAST,66,L,-9.5,W,128.0,U
14,"Dec 18, 2019",S.FLA,74,UT.ST,76,L,-8.5,W,131.5,O
15,"Dec 15, 2019",DREXL,61,S.FLA,81,W,-10.5,W,131.0,O
16,"Dec 6, 2019",DART,44,S.FLA,63,W,-8.5,W,121.0,U
17,"Dec 2, 2019",FURMN,55,S.FLA,65,W,4.0,W,131.0,U
18,"Nov 27, 2019",S.FLA,67,NEBRS,74,L,2.5,L,134.0,O
19,"Nov 26, 2019",NMXST,65,S.FLA,45,L,2.0,L,120.5,U
20,"Nov 25, 2019",LOYCH,55,S.FLA,66,W,2.5,W,127.0,U
21,"Nov 21, 2019",WOFFD,55,S.FLA,69,W,-2.5,W,134.5,U
22,"Nov 13, 2019",IUPUI,70,S.FLA,53,L,-16.5,L,134.0,U
23,"Nov 10, 2019",BC,74,S.FLA,60,L,-6.5,L,133.5,O
24,"Nov 5, 2019",ARKPB,41,S.FLA,70,W,-21.5,W,133.0,U
25,"Apr 5, 2019",S.FLA,77,DPAUL,65,W,-1.5,W,146.5,U
26,"Apr 3, 2019",S.FLA,96,DPAUL,100,L,-4.5,W,144.5,O
27,"Apr 1, 2019",DPAUL,61,S.FLA,63,W,-2.0,P,151.0,U
28,"Mar 28, 2019",LOYMA,47,S.FLA,56,W,-4.0,W,132.0,U
29,"Mar 25, 2019",UTVAL,57,S.FLA,66,W,-3.0,W,146.5,U
