,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",SIUED,71,SEMIZ,75,W,-2.5,W,139.0,O
1,"Feb 13, 2020",TNMAR,72,SEMIZ,74,W,-1.0,W,154.0,U
2,"Feb 8, 2020",TNTEC,62,SEMIZ,60,L,-4.0,L,138.5,U
3,"Feb 6, 2020",JAXST,72,SEMIZ,76,W,3.0,W,138.5,O
4,"Feb 1, 2020",SEMIZ,57,EKENT,70,L,-5.0,L,151.5,U
5,"Jan 30, 2020",SEMIZ,74,MORHD,90,L,-5.0,L,137.0,O
6,"Jan 25, 2020",SEMIZ,59,E.ILL,61,L,-10.5,W,142.0,U
7,"Jan 23, 2020",SEMIZ,65,SIUED,84,L,-1.0,L,140.0,O
8,"Jan 18, 2020",MURRAY,96,SEMIZ,91,L,10.5,W,135.5,O
9,"Jan 16, 2020",APEAY,84,SEMIZ,59,L,6.5,L,141.0,O
10,"Jan 11, 2020",TN.ST,75,SEMIZ,73,L,2.5,W,142.5,O
11,"Jan 9, 2020",BELMT,89,SEMIZ,64,L,12.0,L,146.5,O
12,"Jan 4, 2020",SEMIZ,59,MURRAY,81,L,-14.5,L,136.0,O
13,"Jan 2, 2020",SEMIZ,63,APEAY,78,L,-9.5,L,142.5,U
14,"Dec 29, 2019",MISBAP,59,SEMIZ,74,W,0.0,,0.0,
15,"Dec 21, 2019",SEMIZ,45,S.ILL,64,L,-8.5,L,130.5,U
16,"Dec 17, 2019",SEMIZ,48,OHIOS,80,L,-29.0,L,135.0,U
17,"Dec 15, 2019",SEMIZ,50,YOUNG,65,L,-7.5,L,137.5,U
18,"Dec 7, 2019",SEMIZ,73,DRAKE,78,L,-12.0,W,129.0,O
19,"Dec 5, 2019",SEMIZ,64,ABILE,73,L,-5.5,L,134.5,O
20,"Nov 30, 2019",DENVR,51,SEMIZ,66,W,1.0,W,138.5,U
21,"Nov 29, 2019",SEMIZ,75,SACLA,87,L,-14.5,W,142.0,O
22,"Nov 27, 2019",SEMIZ,57,FULLR,64,L,-5.0,L,134.0,U
23,"Nov 22, 2019",MST,71,SEMIZ,72,W,0.0,,0.0,
24,"Nov 19, 2019",CITDL,74,SEMIZ,69,L,-7.0,L,167.5,U
25,"Nov 10, 2019",IPFW,78,SEMIZ,79,W,1.0,W,154.0,O
26,"Nov 6, 2019",SEMIZ,65,VANDY,83,L,-14.0,L,145.5,O
27,"Mar 2, 2019",BELMT,84,SEMIZ,66,L,15.5,L,156.0,U
28,"Feb 28, 2019",TN.ST,74,SEMIZ,89,W,-1.0,W,139.5,O
29,"Feb 23, 2019",SEMIZ,67,MURRAY,103,L,-17.5,L,147.5,O
