,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",SELA,71,NICHL,81,L,-12.5,W,143.0,O
1,"Feb 12, 2020",SAMHO,79,SELA,70,L,9.0,P,145.0,O
2,"Feb 8, 2020",SELA,75,INCAR,82,L,2.0,L,138.0,O
3,"Feb 5, 2020",HOUBPT,79,SELA,76,L,-5.0,L,170.0,U
4,"Feb 1, 2020",NEWOR,84,SELA,73,L,-2.5,L,148.5,O
5,"Jan 29, 2020",SELA,68,C.ARK,88,L,-5.5,L,153.0,O
6,"Jan 25, 2020",SELA,84,NWST,81,W,-5.0,W,144.0,O
7,"Jan 22, 2020",MCNEE,77,SELA,61,L,2.5,L,147.5,U
8,"Jan 18, 2020",SELA,55,ABILE,76,L,-9.5,L,141.0,U
9,"Jan 15, 2020",TEXCC,56,SELA,62,W,-1.0,W,132.0,U
10,"Jan 11, 2020",NICHL,69,SELA,58,L,4.0,L,140.0,U
11,"Jan 8, 2020",SELA,62,SAMHO,67,L,-12.5,W,150.0,U
12,"Jan 4, 2020",SELA,84,TEXCC,80,W,-5.5,W,130.0,O
13,"Jan 2, 2020",SFA,82,SELA,71,L,14.0,W,146.5,O
14,"Dec 29, 2019",SELA,31,OKST,82,L,-26.5,L,142.5,U
15,"Dec 21, 2019",SELA,76,MISS,83,L,-20.0,W,144.5,O
16,"Dec 18, 2019",SELA,73,LAMAR,79,L,-10.0,W,141.5,O
17,"Dec 6, 2019",SO.NO,74,SELA,79,W,0.0,,0.0,
18,"Dec 3, 2019",SELA,81,ULLAF,98,L,-11.0,L,148.5,O
19,"Nov 25, 2019",SELA,70,VANDY,78,L,-19.0,W,143.0,O
20,"Nov 23, 2019",SELA,60,APEAY,81,L,-11.0,L,145.5,U
21,"Nov 20, 2019",SELA,66,TULSA,73,L,-16.0,W,132.5,O
22,"Nov 17, 2019",MOBILE,58,SELA,65,W,0.0,,0.0,
23,"Nov 13, 2019",GRAMB,81,SELA,70,L,-2.0,L,138.0,O
24,"Nov 11, 2019",XAVLA,70,SELA,77,W,0.0,,0.0,
25,"Nov 6, 2019",SELA,55,TULAN,76,L,-7.5,L,144.0,U
26,"Mar 15, 2019",SELA,66,ABILE,69,L,-4.5,W,127.5,O
27,"Mar 14, 2019",C.ARK,65,SELA,79,W,-3.5,W,141.0,O
28,"Mar 9, 2019",SELA,63,NICHL,69,L,1.5,L,140.0,U
29,"Mar 6, 2019",NEWOR,67,SELA,81,W,-5.0,W,133.0,O
