,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",HOUST,72,SMU,73,W,1.5,W,136.0,O
1,"Feb 12, 2020",UCONN,75,SMU,79,W,-5.0,L,134.0,O
2,"Feb 8, 2020",SMU,90,TEMPL,97,L,1.5,L,137.5,O
3,"Feb 1, 2020",TULAN,67,SMU,82,W,-12.5,W,138.0,O
4,"Jan 28, 2020",SMU,43,CINCY,65,L,-5.5,L,137.5,U
5,"Jan 25, 2020",SMU,74,MEMPH,70,W,-4.0,W,139.0,O
6,"Jan 22, 2020",E.CAR,64,SMU,84,W,-15.0,W,141.5,O
7,"Jan 18, 2020",TEMPL,52,SMU,68,W,-6.0,W,137.0,U
8,"Jan 15, 2020",SMU,62,HOUST,71,L,-7.0,L,138.5,U
9,"Jan 11, 2020",SMU,68,E.CAR,71,L,7.5,L,145.0,U
10,"Jan 8, 2020",UCF,74,SMU,81,W,-7.5,L,137.0,O
11,"Jan 4, 2020",SMU,92,VANDY,81,W,0.0,,145.0,O
12,"Jan 1, 2020",S.FLA,64,SMU,82,W,-8.5,W,126.0,O
13,"Dec 23, 2019",GAST,76,SMU,85,W,-9.0,P,143.0,O
14,"Dec 20, 2019",SMU,85,GA,87,L,-5.0,W,150.0,O
15,"Dec 7, 2019",GTOWN,91,SMU,74,L,-4.0,L,143.0,O
16,"Dec 3, 2019",NWST,51,SMU,77,W,-24.0,W,135.0,U
17,"Nov 29, 2019",ABILE,51,SMU,70,W,-16.0,W,130.0,U
18,"Nov 27, 2019",HARTF,58,SMU,90,W,-20.0,W,126.5,O
19,"Nov 23, 2019",SMU,72,UNLV,68,W,2.0,W,124.0,O
20,"Nov 18, 2019",SMU,59,EVANS,57,W,-2.5,W,139.5,U
21,"Nov 16, 2019",JACKS,63,SMU,80,W,-21.5,L,134.0,O
22,"Nov 12, 2019",NEWOR,64,SMU,77,W,-16.0,L,137.0,O
23,"Nov 5, 2019",JAXST,65,SMU,74,W,-12.5,L,140.0,U
24,"Mar 15, 2019",SMU,74,CINCY,82,L,-6.5,L,129.5,O
25,"Mar 14, 2019",SMU,74,TULSA,65,W,2.5,W,140.0,U
26,"Mar 10, 2019",SMU,77,S.FLA,71,W,-2.5,W,133.0,O
27,"Mar 7, 2019",SMU,79,HOUST,90,L,-12.5,W,136.0,O
28,"Mar 3, 2019",WICHI,67,SMU,55,L,-3.5,L,142.0,U
29,"Feb 27, 2019",CINCY,52,SMU,49,L,4.0,W,132.0,U
