,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",FLAIN,67,S.MISS,75,W,2.5,W,145.0,U
1,"Feb 13, 2020",FLAAT,66,S.MISS,68,W,2.0,W,135.0,U
2,"Feb 8, 2020",S.MISS,72,W.KEN,75,L,-12.5,W,140.0,O
3,"Feb 6, 2020",S.MISS,58,MARSH,72,L,-10.0,L,147.0,U
4,"Feb 1, 2020",CHARL,68,S.MISS,74,W,3.5,W,128.5,O
5,"Jan 30, 2020",OLDDO,68,S.MISS,58,L,2.0,L,128.0,U
6,"Jan 25, 2020",S.MISS,63,MIDTN,65,L,-2.5,W,139.5,U
7,"Jan 23, 2020",S.MISS,84,UAB,77,W,-9.5,W,124.5,O
8,"Jan 18, 2020",RICE,68,S.MISS,81,W,-1.0,W,141.0,O
9,"Jan 16, 2020",N.TEX,72,S.MISS,52,L,6.5,L,128.5,U
10,"Jan 11, 2020",S.MISS,70,TEXSA,80,L,-8.5,L,147.5,O
11,"Jan 9, 2020",S.MISS,64,UTEP,76,L,-10.0,L,128.0,O
12,"Jan 4, 2020",S.MISS,50,LATEC,78,L,-15.0,L,136.0,U
13,"Dec 30, 2019",LATEC,80,S.MISS,49,L,7.5,L,135.5,U
14,"Dec 21, 2019",TOUGA,77,S.MISS,96,W,0.0,,0.0,
15,"Dec 16, 2019",S.MISS,65,TEXTK,71,L,-22.0,W,129.5,O
16,"Dec 14, 2019",N.FLA,72,S.MISS,69,L,1.5,L,141.0,P
17,"Dec 7, 2019",S.ILL,69,S.MISS,72,W,-1.5,W,122.5,O
18,"Dec 4, 2019",TULAN,61,S.MISS,56,L,2.0,L,137.5,U
19,"Nov 29, 2019",ALA,83,S.MISS,68,L,12.0,L,147.5,O
20,"Nov 28, 2019",S.MISS,56,SETON,81,L,-17.5,L,139.5,U
21,"Nov 27, 2019",GONZG,94,S.MISS,69,L,25.0,P,138.5,O
22,"Nov 24, 2019",WMCAR,64,S.MISS,83,W,0.0,,0.0,
23,"Nov 19, 2019",S.MISS,45,IOWAS,73,L,-17.0,L,135.5,U
24,"Nov 14, 2019",S.MISS,63,N.FLA,66,L,-4.0,W,149.0,U
25,"Nov 9, 2019",S.MISS,69,S.ALA,75,L,-9.0,W,139.5,O
26,"Nov 5, 2019",DELTA,71,S.MISS,90,W,0.0,,0.0,
27,"Mar 20, 2019",S.MISS,68,LONGW,90,L,9.5,L,136.0,O
28,"Mar 15, 2019",S.MISS,59,W.KEN,70,L,1.0,L,132.0,U
29,"Mar 14, 2019",MARSH,73,S.MISS,82,W,-2.5,W,149.0,O
