,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",SUTAH,69,NARIZ,82,L,2.5,L,139.5,O
1,"Feb 13, 2020",SUTAH,55,SACRA,70,L,1.5,L,122.5,O
2,"Feb 8, 2020",PORST,57,SUTAH,85,W,-6.0,W,148.0,U
3,"Feb 6, 2020",NCOLO,68,SUTAH,60,L,-2.0,L,135.0,U
4,"Feb 1, 2020",ID.ST,75,SUTAH,80,W,-12.5,L,135.0,O
5,"Jan 30, 2020",WEBER,75,SUTAH,65,L,-8.5,L,137.5,O
6,"Jan 27, 2020",SUTAH,73,IDAHO,45,W,8.0,W,133.0,U
7,"Jan 25, 2020",SUTAH,78,EWASH,81,L,-3.5,W,147.5,O
8,"Jan 18, 2020",SACRA,49,SUTAH,74,W,-5.0,W,121.5,O
9,"Jan 16, 2020",NARIZ,75,SUTAH,72,L,-8.5,L,135.5,O
10,"Jan 9, 2020",SUTAH,71,ID.ST,55,W,5.5,W,133.5,U
11,"Jan 4, 2020",MONST,53,SUTAH,59,W,-7.5,L,137.0,U
12,"Jan 2, 2020",MONTA,60,SUTAH,58,L,-4.5,L,135.0,U
13,"Dec 30, 2019",SUTAH,83,PORST,81,W,-3.0,W,146.0,O
14,"Dec 19, 2019",SUTAH,84,LONGB,63,W,1.5,W,143.5,O
15,"Dec 14, 2019",SABAR,61,SUTAH,62,W,-1.5,L,135.0,U
16,"Dec 7, 2019",UTVAL,72,SUTAH,73,W,-7.0,L,138.0,O
17,"Dec 1, 2019",SUTAH,51,LOYMA,61,L,0.0,,130.5,U
18,"Nov 29, 2019",WCBAP,40,SUTAH,126,W,0.0,,0.0,
19,"Nov 24, 2019",SUTAH,58,E.TEN,70,L,-11.0,L,140.0,U
20,"Nov 23, 2019",SUTAH,80,CHASO,45,W,8.0,W,138.0,U
21,"Nov 18, 2019",SUTAH,61,UCLA,76,L,-13.0,L,136.5,O
22,"Nov 13, 2019",SUTAH,63,BYU,68,L,-11.5,W,150.0,U
23,"Nov 9, 2019",SUTAH,79,NEBRS,78,W,-7.5,W,149.0,O
24,"Nov 5, 2019",BTHSD,66,SUTAH,110,W,0.0,,0.0,
25,"Mar 25, 2019",CSBAK,70,SUTAH,67,L,-2.0,L,147.0,U
26,"Mar 22, 2019",DRAKE,73,SUTAH,80,W,3.5,W,150.5,O
27,"Mar 15, 2019",SUTAH,61,EWASH,77,L,-4.0,L,146.0,U
28,"Mar 14, 2019",SUTAH,83,NCOLO,64,W,-8.5,W,141.0,O
29,"Mar 13, 2019",ID.ST,80,SUTAH,94,W,-2.5,W,150.0,O
