,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 14, 2020",DAVID,93,STBON,64,L,-4.5,L,130.0,O
1,"Feb 11, 2020",STBON,74,STJOE,56,W,8.0,W,145.5,U
2,"Feb 8, 2020",STBON,83,DUQU,80,W,-4.0,W,128.5,O
3,"Feb 5, 2020",GWASH,47,STBON,72,W,-11.0,W,130.0,U
4,"Feb 1, 2020",GMASN,65,STBON,74,W,-7.0,W,130.0,O
5,"Jan 29, 2020",STBON,62,FORDM,55,W,6.5,W,117.0,P
6,"Jan 25, 2020",RHODEI,81,STBON,75,L,4.5,L,137.5,O
7,"Jan 22, 2020",STBON,60,DAYTN,86,L,-17.5,L,139.5,O
8,"Jan 18, 2020",STBON,63,VACOM,91,L,-10.5,L,130.0,O
9,"Jan 15, 2020",UMASS,61,STBON,74,W,-8.5,W,134.0,O
10,"Jan 11, 2020",FORDM,44,STBON,64,W,-14.5,W,117.0,U
11,"Jan 8, 2020",STBON,61,GMASN,49,W,-1.0,W,130.0,U
12,"Jan 5, 2020",STBON,71,GWASH,66,W,4.0,W,132.0,O
13,"Dec 30, 2019",STBON,79,BUFF,84,L,-2.5,L,146.5,O
14,"Dec 21, 2019",STBON,66,MIDTN,65,W,4.5,L,136.5,U
15,"Dec 18, 2019",NIAGR,70,STBON,87,W,-14.0,W,133.5,O
16,"Dec 14, 2019",GANON,50,STBON,75,W,0.0,,0.0,
17,"Dec 7, 2019",HOFST,45,STBON,73,W,-4.0,W,139.0,U
18,"Dec 2, 2019",STBON,71,FLAAT,64,W,4.0,W,124.5,O
19,"Dec 1, 2019",SD,61,STBON,70,W,-3.5,W,123.5,O
20,"Nov 26, 2019",MERCR,51,STBON,56,W,-6.0,L,141.5,U
21,"Nov 23, 2019",STBON,57,CANIS,61,L,5.5,L,137.5,U
22,"Nov 16, 2019",STBON,80,RUTGR,74,W,-8.5,W,127.5,O
23,"Nov 12, 2019",STBON,65,SIENA,78,L,1.0,L,137.5,O
24,"Nov 8, 2019",VERMT,61,STBON,59,L,4.0,W,128.0,U
25,"Nov 5, 2019",OHIO,65,STBON,53,L,-11.5,L,131.5,U
26,"Mar 17, 2019",STL,55,STBON,53,L,-2.0,L,119.5,U
27,"Mar 16, 2019",RHODEI,51,STBON,68,W,-2.5,W,126.0,U
28,"Mar 15, 2019",GMASN,57,STBON,68,W,-5.0,W,130.0,U
29,"Mar 9, 2019",STL,57,STBON,66,W,-3.0,W,128.0,U
