,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",STFNY,87,LIU,77,W,-6.0,W,147.5,O
1,"Feb 13, 2020",MERRIM,60,STFNY,50,L,1.0,L,127.0,U
2,"Feb 8, 2020",MTSTM,67,STFNY,70,W,1.0,W,130.0,O
3,"Feb 6, 2020",STFNY,60,BRYANT,73,L,-6.5,L,144.0,U
4,"Feb 1, 2020",SACRD,83,STFNY,76,L,2.0,L,142.0,O
5,"Jan 30, 2020",STFNY,50,MERRIM,61,L,-5.0,L,126.0,U
6,"Jan 25, 2020",STFPA,79,STFNY,86,W,2.0,W,145.0,O
7,"Jan 23, 2020",ROBMO,57,STFNY,78,W,3.0,W,135.0,P
8,"Jan 20, 2020",STFNY,39,MTSTM,59,L,-5.5,L,129.0,U
9,"Jan 18, 2020",STFNY,69,WAGNR,64,W,-2.0,W,143.5,U
10,"Jan 15, 2020",LIU,69,STFNY,66,L,1.0,L,154.5,U
11,"Jan 11, 2020",STFNY,80,STFPA,81,L,-10.0,W,147.5,O
12,"Jan 9, 2020",STFNY,52,ROBMO,78,L,-6.0,L,140.0,U
13,"Jan 2, 2020",FDU,63,STFNY,79,W,0.0,W,145.5,U
14,"Dec 22, 2019",DELST,62,STFNY,81,W,-10.5,W,153.0,U
15,"Dec 14, 2019",NJIT,71,STFNY,73,W,3.0,W,142.5,O
16,"Dec 10, 2019",PRESB,63,STFNY,64,W,-5.5,L,140.5,U
17,"Dec 7, 2019",STFNY,63,LOWELL,94,L,-6.0,L,149.0,O
18,"Dec 5, 2019",STFNY,84,HARTF,78,W,-3.5,W,135.0,O
19,"Nov 30, 2019",STFNY,59,STPET,67,L,-2.5,L,130.5,U
20,"Nov 26, 2019",STFNY,56,ARKLR,67,L,-12.5,W,137.5,U
21,"Nov 21, 2019",MEDGR,58,STFNY,122,W,0.0,,0.0,
22,"Nov 16, 2019",STFNY,64,NCST,95,L,-22.5,L,149.0,O
23,"Nov 14, 2019",STFNY,77,LONGW,86,L,-6.0,L,142.0,O
24,"Nov 9, 2019",LAFAY,72,STFNY,73,W,-1.0,P,142.5,O
25,"Nov 5, 2019",STFNY,59,FORDM,68,L,-10.0,W,131.5,U
26,"Mar 21, 2019",STFNY,72,HAMPT,81,L,-8.0,L,157.0,U
27,"Mar 6, 2019",STFNY,65,ROBMO,69,L,-3.5,L,131.0,O
28,"Mar 2, 2019",MTSTM,73,STFNY,71,L,-8.5,L,135.5,O
29,"Feb 28, 2019",BRYANT,66,STFNY,74,W,-8.0,P,144.5,U
