,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 23, 2020",STJON,65,SETON,81,L,-10.5,L,148.5,U
1,"Feb 17, 2020",XAVIR,77,STJON,74,L,1.5,L,141.0,O
2,"Feb 12, 2020",PROV,69,STJON,80,W,1.0,W,140.5,O
3,"Feb 8, 2020",STJON,82,CREIG,94,L,-8.5,L,149.5,O
4,"Feb 2, 2020",GTOWN,73,STJON,72,L,-4.0,L,153.0,U
5,"Jan 28, 2020",VILLA,79,STJON,59,L,3.0,L,146.0,U
6,"Jan 25, 2020",STJON,79,DPAUL,66,W,-4.5,W,147.0,U
7,"Jan 21, 2020",STJON,68,MARQ,82,L,-8.0,L,147.5,O
8,"Jan 18, 2020",SETON,82,STJON,79,L,4.5,W,142.5,O
9,"Jan 15, 2020",STJON,58,PROV,63,L,-6.0,W,140.5,U
10,"Jan 11, 2020",DPAUL,67,STJON,74,W,-3.0,W,147.0,U
11,"Jan 8, 2020",STJON,66,GTOWN,87,L,-4.5,L,156.5,U
12,"Jan 5, 2020",STJON,67,XAVIR,75,L,-8.0,P,145.5,U
13,"Dec 31, 2019",BUTLR,60,STJON,58,L,4.0,W,135.5,U
14,"Dec 21, 2019",ARIZ,67,STJON,70,W,12.0,W,153.0,U
15,"Dec 18, 2019",ALBNY,57,STJON,85,W,-9.5,W,144.0,U
16,"Dec 10, 2019",BROWN,71,STJON,82,W,-11.0,P,149.0,O
17,"Dec 7, 2019",W.VA,68,STJON,70,W,4.0,W,150.5,U
18,"Dec 3, 2019",STPET,69,STJON,79,W,-20.5,L,137.5,O
19,"Nov 30, 2019",WAGNR,63,STJON,86,W,-19.5,W,149.5,U
20,"Nov 24, 2019",UMASS,63,STJON,78,W,-4.0,W,146.0,U
21,"Nov 23, 2019",ARZST,80,STJON,67,L,3.5,L,158.0,U
22,"Nov 20, 2019",COLUM,63,STJON,82,W,-10.5,W,144.5,O
23,"Nov 16, 2019",VERMT,70,STJON,68,L,-2.0,L,142.5,U
24,"Nov 12, 2019",NH,61,STJON,74,W,-21.5,L,146.5,U
25,"Nov 9, 2019",CCONN,57,STJON,87,W,-27.0,W,151.5,U
26,"Nov 6, 2019",MERCR,79,STJON,109,W,-11.0,W,151.5,O
27,"Mar 20, 2019",STJON,65,ARZST,74,L,-2.0,L,153.0,U
28,"Mar 14, 2019",STJON,54,MARQ,86,L,-3.5,L,148.0,U
29,"Mar 13, 2019",DPAUL,74,STJON,82,W,-5.0,W,153.5,O
