,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",ARIZ,69,STANF,60,L,3.5,L,136.0,U
1,"Feb 13, 2020",ARZST,74,STANF,69,L,-2.5,L,138.5,O
2,"Feb 8, 2020",STANF,74,COLO,81,L,-8.5,W,129.5,O
3,"Feb 6, 2020",STANF,56,UTAH,64,L,-1.0,L,135.0,U
4,"Feb 1, 2020",OREG,60,STANF,70,W,2.5,W,133.0,U
5,"Jan 30, 2020",OREST,68,STANF,63,L,-6.0,L,128.5,O
6,"Jan 26, 2020",STANF,50,CAL,52,L,8.0,L,127.0,U
7,"Jan 18, 2020",STANF,78,USC,82,L,-3.0,L,136.5,O
8,"Jan 15, 2020",STANF,74,UCLA,59,W,-1.0,W,132.5,O
9,"Jan 11, 2020",WASST,62,STANF,88,W,-9.0,W,134.0,O
10,"Jan 9, 2020",WASH,55,STANF,61,W,-3.0,W,131.0,U
11,"Jan 2, 2020",CAL,52,STANF,68,W,-10.5,W,127.5,U
12,"Dec 29, 2019",KANSA,72,STANF,56,L,6.5,L,137.0,U
13,"Dec 21, 2019",SD,59,STANF,62,W,-10.0,L,129.5,U
14,"Dec 17, 2019",SF,56,STANF,64,W,-4.5,W,144.5,U
15,"Dec 14, 2019",STANF,78,SJ.ST,58,W,16.5,W,136.0,P
16,"Dec 1, 2019",NCWIL,54,STANF,72,W,-20.0,L,133.0,U
17,"Nov 26, 2019",BUTLR,68,STANF,67,L,3.5,W,124.0,O
18,"Nov 25, 2019",OKLA,54,STANF,73,W,4.5,W,138.5,U
19,"Nov 21, 2019",W&M,50,STANF,81,W,-11.0,W,138.0,U
20,"Nov 19, 2019",MD-ES,55,STANF,76,W,-28.5,L,132.5,U
21,"Nov 16, 2019",SACLA,64,STANF,82,W,-7.5,W,137.5,O
22,"Nov 12, 2019",LONGB,58,STANF,86,W,-13.0,W,143.0,O
23,"Nov 9, 2019",FULLR,54,STANF,70,W,-13.5,W,140.5,U
24,"Nov 6, 2019",MONTA,62,STANF,73,W,-9.5,W,145.0,U
25,"Mar 13, 2019",STANF,72,UCLA,79,L,1.5,L,152.0,U
26,"Mar 7, 2019",CAL,64,STANF,59,L,-11.0,L,142.5,U
27,"Mar 3, 2019",WASH,62,STANF,61,L,2.0,W,137.5,U
28,"Feb 28, 2019",WASST,50,STANF,98,W,-8.5,W,152.5,U
29,"Feb 24, 2019",STANF,54,ARIZ,70,L,-5.0,L,141.0,U
