,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",KENNE,42,STETS,59,W,-12.0,W,124.0,U
1,"Feb 13, 2020",N.ALAB,64,STETS,75,W,-2.0,W,131.0,O
2,"Feb 6, 2020",STETS,65,FLAGC,62,W,-3.0,W,119.0,O
3,"Feb 1, 2020",STETS,55,LIPSC,53,W,-6.5,W,135.0,U
4,"Jan 30, 2020",STETS,65,N.FLA,78,L,-9.0,L,139.0,O
5,"Jan 25, 2020",LIBRT,43,STETS,48,W,13.5,W,113.0,U
6,"Jan 23, 2020",NJIT,64,STETS,65,W,1.0,W,126.0,O
7,"Jan 18, 2020",STETS,64,JAXVL,59,W,-8.0,W,119.0,O
8,"Jan 16, 2020",STETS,54,N.ALAB,49,W,-6.0,W,129.5,U
9,"Jan 11, 2020",FLAGC,66,STETS,62,L,-2.5,L,122.5,O
10,"Jan 4, 2020",STETS,57,KENNE,54,W,2.0,W,130.0,U
11,"Jan 2, 2020",LIPSC,66,STETS,63,L,5.0,W,139.0,U
12,"Dec 30, 2019",STETS,63,S.CAR,56,W,-23.0,W,137.5,U
13,"Dec 22, 2019",FLAIN,83,STETS,67,L,8.0,L,146.5,O
14,"Dec 17, 2019",STETS,76,NCASH,78,L,-9.5,W,143.0,O
15,"Dec 15, 2019",LONGW,76,STETS,72,L,-2.0,L,131.0,O
16,"Dec 7, 2019",STETS,61,VMI,88,L,-4.0,L,130.0,O
17,"Dec 3, 2019",BCOOK,67,STETS,72,W,1.0,W,133.5,O
18,"Nov 30, 2019",STETS,53,KENT,77,L,-16.0,L,130.0,P
19,"Nov 26, 2019",FLACOL,60,STETS,72,W,0.0,,0.0,
20,"Nov 24, 2019",W.CAR,70,STETS,64,L,10.0,W,142.0,U
21,"Nov 23, 2019",STETS,63,MONMO,55,W,-8.0,W,133.0,U
22,"Nov 22, 2019",STETS,55,IONA,60,L,-13.5,W,143.0,U
23,"Nov 18, 2019",STETS,51,OHIOS,86,L,-31.5,L,128.0,O
24,"Nov 16, 2019",STETS,55,IPFW,79,L,-8.5,L,149.0,U
25,"Nov 9, 2019",STETS,77,W.ILL,75,W,-6.5,W,148.5,O
26,"Nov 5, 2019",TRINBP,26,STETS,84,W,0.0,,0.0,
27,"Mar 1, 2019",STETS,82,KENNE,83,L,-1.0,P,142.5,O
28,"Feb 26, 2019",STETS,67,N.FLA,77,L,-12.0,W,154.5,U
29,"Feb 23, 2019",N.ALAB,60,STETS,63,W,-1.0,W,145.5,U
