,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 12, 2020",STONY,75,BINGH,70,W,8.5,L,147.5,U
1,"Feb 8, 2020",STONY,64,NH,81,L,6.0,L,136.0,O
2,"Feb 5, 2020",LOWELL,70,STONY,77,W,-11.0,L,153.5,U
3,"Feb 1, 2020",UMBC,63,STONY,74,W,-11.5,L,137.5,U
4,"Jan 29, 2020",STONY,84,LOWELL,76,W,5.0,W,153.0,O
5,"Jan 22, 2020",BINGH,83,STONY,79,L,-17.0,L,142.0,O
6,"Jan 18, 2020",ALBNY,62,STONY,70,W,-8.0,P,135.0,U
7,"Jan 15, 2020",STONY,65,HARTF,68,L,7.5,L,138.5,U
8,"Jan 11, 2020",NH,48,STONY,73,W,-12.0,W,136.0,U
9,"Jan 8, 2020",STONY,81,VERMT,77,W,-9.0,W,131.0,O
10,"Jan 5, 2020",STONY,73,MAINE,52,W,10.5,W,129.5,U
11,"Dec 29, 2019",NORFK,65,STONY,81,W,-12.0,W,126.5,O
12,"Dec 21, 2019",STONY,77,AMERN,74,W,0.0,,139.0,O
13,"Dec 18, 2019",STONY,44,VIRGA,56,L,-16.5,W,105.0,U
14,"Dec 14, 2019",STONY,78,PROV,82,L,-12.5,W,134.0,O
15,"Dec 10, 2019",STONY,63,HOFST,71,L,-3.5,L,143.0,U
16,"Dec 7, 2019",BROWN,63,STONY,79,W,-5.0,W,135.5,O
17,"Dec 2, 2019",MANHT,47,STONY,65,W,-6.0,W,128.0,U
18,"Nov 27, 2019",STONY,61,DELA,75,L,-4.0,L,132.5,O
19,"Nov 23, 2019",STONY,87,WAGNR,84,W,6.5,L,137.0,O
20,"Nov 17, 2019",STONY,64,ND.ST,57,W,-2.5,W,131.5,U
21,"Nov 16, 2019",STONY,69,UTRGV,58,W,2.0,W,137.5,U
22,"Nov 15, 2019",STONY,68,TEXCC,63,W,2.0,W,129.5,O
23,"Nov 11, 2019",FDALE,44,STONY,91,W,0.0,,0.0,
24,"Nov 9, 2019",STONY,57,SETON,74,L,-20.5,W,142.0,U
25,"Nov 5, 2019",YALE,74,STONY,69,L,1.5,L,145.5,U
26,"Mar 20, 2019",STONY,79,S.FLA,82,L,-7.5,W,137.5,O
27,"Mar 9, 2019",BINGH,78,STONY,72,L,-11.5,L,132.0,O
28,"Mar 5, 2019",STONY,68,HARTF,63,W,-2.0,W,143.5,U
29,"Mar 2, 2019",STONY,50,VERMT,56,L,-8.0,W,135.5,U
