,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",SYRA,77,FLAST,80,L,-9.0,W,148.0,O
1,"Feb 11, 2020",NCST,79,SYRA,74,L,-5.0,L,148.0,O
2,"Feb 8, 2020",WAKE,73,SYRA,75,W,-9.5,L,148.0,P
3,"Feb 1, 2020",DUKE,97,SYRA,88,L,6.5,L,147.0,O
4,"Jan 28, 2020",SYRA,70,CLEMS,71,L,-2.0,W,134.5,O
5,"Jan 25, 2020",PITT,61,SYRA,69,W,-6.0,W,131.0,U
6,"Jan 22, 2020",SYRA,84,ND,82,W,-4.0,W,139.0,O
7,"Jan 18, 2020",SYRA,71,VATEC,69,W,-4.0,W,132.5,O
8,"Jan 15, 2020",BC,50,SYRA,76,W,-11.0,W,136.5,U
9,"Jan 11, 2020",SYRA,63,VIRGA,55,W,-7.0,W,114.5,O
10,"Jan 7, 2020",VATEC,67,SYRA,63,L,-4.5,L,135.5,U
11,"Jan 4, 2020",ND,88,SYRA,87,L,-3.0,L,138.5,O
12,"Dec 28, 2019",NIAGR,57,SYRA,71,W,-22.5,L,144.0,U
13,"Dec 21, 2019",N.FLA,70,SYRA,82,W,-14.5,L,151.0,O
14,"Dec 18, 2019",OAKLN,62,SYRA,74,W,-14.0,L,129.0,O
15,"Dec 14, 2019",SYRA,79,GTOWN,89,L,-3.0,L,145.5,O
16,"Dec 7, 2019",SYRA,97,GATEC,63,W,-3.0,W,127.5,O
17,"Dec 3, 2019",IOWA,68,SYRA,54,L,-4.5,L,144.5,U
18,"Nov 29, 2019",PENST,85,SYRA,64,L,2.5,L,135.0,O
19,"Nov 27, 2019",OKST,86,SYRA,72,L,-2.0,L,125.0,O
20,"Nov 23, 2019",BUCKN,46,SYRA,97,W,-13.0,W,135.5,O
21,"Nov 20, 2019",CORNL,53,SYRA,72,W,-20.0,L,129.0,U
22,"Nov 16, 2019",SEATT,67,SYRA,89,W,-16.5,W,128.5,O
23,"Nov 13, 2019",COLGT,54,SYRA,70,W,-9.0,W,137.0,U
24,"Nov 6, 2019",VIRGA,48,SYRA,34,L,3.0,L,121.5,U
25,"Mar 21, 2019",BAYLR,78,SYRA,69,L,-2.5,L,129.5,O
26,"Mar 14, 2019",SYRA,72,DUKE,84,L,-12.5,W,145.5,O
27,"Mar 13, 2019",PITT,59,SYRA,73,W,-5.5,W,126.5,O
28,"Mar 9, 2019",SYRA,55,CLEMS,67,L,-5.0,L,127.0,U
29,"Mar 4, 2019",VIRGA,79,SYRA,53,L,6.0,L,121.0,O
