,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",TNTEC,55,TN.ST,70,W,-9.0,W,140.5,U
1,"Feb 13, 2020",TN.ST,51,BELMT,74,L,-12.5,L,153.0,U
2,"Feb 8, 2020",MURRAY,73,TN.ST,65,L,4.0,L,145.0,U
3,"Feb 6, 2020",APEAY,68,TN.ST,70,W,4.0,W,149.5,U
4,"Feb 1, 2020",TN.ST,72,TNTEC,67,W,4.5,W,144.5,U
5,"Jan 30, 2020",TN.ST,72,JAXST,62,W,-3.5,W,143.0,U
6,"Jan 25, 2020",TN.ST,64,MURRAY,76,L,-12.0,P,147.5,U
7,"Jan 23, 2020",TN.ST,74,APEAY,99,L,-8.5,L,147.0,O
8,"Jan 18, 2020",EKENT,92,TN.ST,88,L,-10.0,L,155.0,O
9,"Jan 16, 2020",MORHD,48,TN.ST,64,W,-5.5,W,146.5,U
10,"Jan 11, 2020",TN.ST,75,SEMIZ,73,W,2.5,L,142.5,O
11,"Jan 9, 2020",TN.ST,74,TNMAR,87,L,2.0,L,153.5,O
12,"Jan 4, 2020",SIUED,74,TN.ST,79,W,-12.5,L,146.0,O
13,"Jan 2, 2020",E.ILL,79,TN.ST,84,W,-2.5,W,146.0,O
14,"Dec 21, 2019",BLUMNT,71,TN.ST,86,W,0.0,,0.0,
15,"Dec 18, 2019",TN.ST,72,INDST,78,L,-9.0,W,143.0,O
16,"Dec 15, 2019",TN.ST,66,FORDM,61,W,-3.5,W,129.5,U
17,"Dec 10, 2019",TN.ST,62,ARKLR,86,L,-4.5,L,133.0,O
18,"Dec 6, 2019",CHIST,74,TN.ST,80,W,-21.0,L,155.5,U
19,"Nov 29, 2019",TN.ST,81,N.FLA,73,W,-3.0,W,149.0,O
20,"Nov 28, 2019",TN.ST,82,CALPO,72,W,7.0,W,139.5,O
21,"Nov 25, 2019",TN.ST,49,SD.ST,62,L,-17.5,W,134.5,U
22,"Nov 21, 2019",TN.ST,57,TEXTK,72,L,-24.5,W,140.5,U
23,"Nov 18, 2019",FISK,65,TN.ST,99,W,-37.5,L,146.5,O
24,"Nov 12, 2019",LIPSC,78,TN.ST,79,W,2.5,W,147.0,O
25,"Nov 9, 2019",TN.ST,57,CHATT,59,L,-2.5,W,147.5,U
26,"Nov 5, 2019",ALA&M,66,TN.ST,106,W,-13.5,W,137.5,O
27,"Mar 2, 2019",TN.ST,86,TNMAR,91,L,-4.0,L,149.5,O
28,"Feb 28, 2019",TN.ST,74,SEMIZ,89,L,-1.0,L,139.5,O
29,"Feb 23, 2019",E.ILL,60,TN.ST,75,W,-2.5,W,142.5,U
