,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",ABILE,78,TEXCC,64,L,5.0,L,127.5,O
1,"Feb 12, 2020",SFA,75,TEXCC,67,L,8.5,W,131.5,O
2,"Feb 5, 2020",MCNEE,62,TEXCC,69,W,2.0,W,139.5,U
3,"Feb 1, 2020",TEXCC,77,HOUBPT,82,L,3.5,L,161.0,U
4,"Jan 29, 2020",TEXCC,61,SAMHO,80,L,-10.0,L,132.5,O
5,"Jan 25, 2020",TEXCC,68,INCAR,47,W,4.5,W,128.0,U
6,"Jan 22, 2020",NEWOR,71,TEXCC,74,W,-4.0,L,134.0,O
7,"Jan 18, 2020",LAMAR,58,TEXCC,64,W,0.0,W,124.0,U
8,"Jan 15, 2020",TEXCC,56,SELA,62,L,-1.0,L,132.0,U
9,"Jan 11, 2020",TEXCC,56,ABILE,68,L,-8.0,L,130.5,U
10,"Jan 8, 2020",TEXCC,73,SFA,72,W,-16.5,W,134.0,O
11,"Jan 4, 2020",SELA,84,TEXCC,80,L,-5.5,L,130.0,O
12,"Jan 2, 2020",NWST,62,TEXCC,67,W,-6.5,L,131.5,U
13,"Dec 29, 2019",TEXCC,52,NEBRS,73,L,-12.5,L,135.5,U
14,"Dec 21, 2019",TEXCC,67,C.ARK,71,L,-3.0,L,138.5,U
15,"Dec 18, 2019",TEXCC,58,NICHL,64,L,-7.5,W,130.0,U
16,"Dec 15, 2019",TEXCC,60,TEXAM,63,L,-9.5,W,120.0,O
17,"Dec 7, 2019",STMARYTX,53,TEXCC,81,W,0.0,,0.0,
18,"Dec 3, 2019",TEXCC,67,TEXSA,89,L,-8.0,L,134.0,O
19,"Nov 30, 2019",TEXCC,55,UTRGV,52,W,-5.0,W,123.5,U
20,"Nov 23, 2019",STTHOM,59,TEXCC,69,W,0.0,,0.0,
21,"Nov 17, 2019",UTRGV,55,TEXCC,63,W,1.5,W,133.0,U
22,"Nov 16, 2019",ND.ST,57,TEXCC,45,L,6.5,L,131.5,U
23,"Nov 15, 2019",STONY,68,TEXCC,63,L,2.0,L,129.5,O
24,"Nov 11, 2019",TEXCC,66,VANDY,71,L,-17.5,W,133.0,O
25,"Nov 6, 2019",LATEC,82,TEXCC,49,L,8.0,L,137.0,U
26,"Mar 13, 2019",C.ARK,73,TEXCC,53,L,-3.0,L,137.0,U
27,"Mar 9, 2019",HOUBPT,69,TEXCC,76,W,-3.0,W,146.5,U
28,"Mar 6, 2019",TEXCC,59,MCNEE,50,W,2.5,W,132.5,U
29,"Mar 2, 2019",TEXCC,74,INCAR,72,W,5.5,L,127.0,O
