,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",TEXAM,74,ALA,68,W,-11.0,W,144.5,U
1,"Feb 15, 2020",GA,69,TEXAM,74,W,1.0,W,136.5,O
2,"Feb 12, 2020",FLA,78,TEXAM,61,L,5.5,L,125.5,O
3,"Feb 8, 2020",TEXAM,54,S.CAR,74,L,-7.0,L,132.5,U
4,"Feb 4, 2020",MIZZU,51,TEXAM,68,W,1.5,W,123.5,U
5,"Feb 1, 2020",TEXAM,48,GA,63,L,-6.5,L,134.0,U
6,"Jan 28, 2020",TEXAM,63,TENN,58,W,-9.5,W,120.0,O
7,"Jan 25, 2020",OKST,73,TEXAM,62,L,2.0,L,127.0,O
8,"Jan 21, 2020",TEXAM,66,MIZZU,64,W,-10.0,W,123.0,O
9,"Jan 18, 2020",S.CAR,81,TEXAM,67,L,-1.5,L,128.5,O
10,"Jan 14, 2020",LSU,89,TEXAM,85,L,6.5,W,129.0,O
11,"Jan 11, 2020",TEXAM,69,VANDY,50,W,-3.5,W,127.5,U
12,"Jan 7, 2020",MISS,47,TEXAM,57,W,3.0,W,127.0,U
13,"Jan 4, 2020",TEXAM,59,ARK,69,L,-15.0,W,127.5,O
14,"Dec 30, 2019",TEXSO,55,TEXAM,58,W,-11.0,L,140.0,U
15,"Dec 21, 2019",OREST,49,TEXAM,64,W,6.5,W,132.0,U
16,"Dec 15, 2019",TEXCC,60,TEXAM,63,W,-9.5,L,120.0,O
17,"Dec 8, 2019",TEXAS,60,TEXAM,50,L,10.5,W,124.5,U
18,"Dec 1, 2019",TEXAM,62,FAIRF,67,L,5.5,L,117.5,O
19,"Nov 29, 2019",TEMPL,65,TEXAM,42,L,4.5,L,130.5,U
20,"Nov 28, 2019",TEXAM,51,HARVD,62,L,-3.0,L,129.0,U
21,"Nov 20, 2019",TROY,52,TEXAM,56,W,-16.5,L,133.5,U
22,"Nov 15, 2019",GONZG,79,TEXAM,49,L,8.5,L,144.0,U
23,"Nov 11, 2019",ULMON,57,TEXAM,63,W,-14.5,L,133.5,U
24,"Nov 6, 2019",NWST,63,TEXAM,77,W,-27.0,L,143.5,U
25,"Mar 14, 2019",TEXAM,54,MISST,80,L,-9.0,L,141.5,U
26,"Mar 13, 2019",VANDY,52,TEXAM,69,W,-3.5,W,132.5,U
27,"Mar 9, 2019",TEXAM,81,MISST,92,L,-11.0,P,139.0,O
28,"Mar 5, 2019",S.CAR,71,TEXAM,54,L,-4.0,L,144.0,U
29,"Mar 2, 2019",VANDY,57,TEXAM,64,W,-6.0,W,135.5,U
