,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",GRAMB,79,TEXSO,93,W,-6.0,W,144.0,O
1,"Feb 15, 2020",JACKS,74,TEXSO,77,W,-5.0,L,140.5,O
2,"Feb 8, 2020",TEXSO,59,PVA&M,69,L,-4.0,L,144.0,U
3,"Feb 3, 2020",TEXSO,55,ALAST,79,L,5.5,L,141.5,U
4,"Feb 1, 2020",TEXSO,82,ALA&M,73,W,4.5,W,146.0,O
5,"Jan 27, 2020",ARKPB,57,TEXSO,68,W,-15.0,L,135.0,U
6,"Jan 25, 2020",MSVAL,67,TEXSO,80,W,-22.0,L,161.5,U
7,"Jan 20, 2020",TEXSO,68,GRAMB,61,W,1.0,W,148.0,U
8,"Jan 18, 2020",TEXSO,77,JACKS,66,W,1.5,W,144.5,U
9,"Jan 11, 2020",PVA&M,67,TEXSO,71,W,1.0,W,151.5,U
10,"Jan 6, 2020",ALCRN,95,TEXSO,80,L,-11.0,L,146.0,O
11,"Jan 4, 2020",SUTHR,68,TEXSO,77,W,-9.0,P,148.0,U
12,"Dec 30, 2019",TEXSO,55,TEXAM,58,L,-11.0,W,140.0,U
13,"Dec 28, 2019",TEXSO,81,ARZST,98,L,-19.0,W,153.5,O
14,"Dec 21, 2019",TEXSO,78,OREG,84,L,-27.5,W,146.5,O
15,"Dec 18, 2019",TEXSO,73,NEV,91,L,-16.5,L,155.5,O
16,"Dec 7, 2019",CONTX,47,TEXSO,85,W,0.0,,0.0,
17,"Dec 4, 2019",TEXSO,62,GONZG,101,L,-30.5,L,152.0,O
18,"Nov 30, 2019",LAMAR,73,TEXSO,76,W,1.5,W,145.5,O
19,"Nov 25, 2019",TEXSO,62,MONTA,74,L,-10.0,L,142.5,U
20,"Nov 23, 2019",TEXSO,98,N.KENT,96,W,-11.5,W,144.0,O
21,"Nov 19, 2019",TEXSO,51,ARK,82,L,-24.0,L,149.0,U
22,"Nov 15, 2019",TEXSO,69,SDKOTA,88,L,-11.5,L,152.5,O
23,"Nov 9, 2019",TEXSO,63,WICHI,69,L,-20.5,W,146.5,U
24,"Nov 5, 2019",TEXSO,42,SD.ST,77,L,-15.0,L,153.0,U
25,"Apr 2, 2019",TEXSO,86,WISGB,87,L,-6.0,W,173.5,U
26,"Mar 28, 2019",TEXSO,108,ULMON,102,W,-8.0,W,171.0,O
27,"Mar 25, 2019",TEXSO,94,UTRGV,85,W,-6.5,W,162.0,O
28,"Mar 20, 2019",TEXSO,95,NEWOR,89,W,0.0,W,160.0,O
29,"Mar 16, 2019",TEXSO,86,PVA&M,92,L,2.0,L,158.0,O
