,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",KANST,62,TEXTK,69,W,-11.5,L,128.5,O
1,"Feb 15, 2020",TEXTK,70,OKST,73,L,3.0,L,133.0,O
2,"Feb 10, 2020",TCU,42,TEXTK,88,W,-10.0,W,127.5,O
3,"Feb 8, 2020",TEXTK,62,TEXAS,57,W,2.5,W,129.5,U
4,"Feb 4, 2020",OKLA,61,TEXTK,69,W,-8.5,L,138.0,U
5,"Feb 1, 2020",TEXTK,75,KANSA,78,L,-8.5,W,132.0,O
6,"Jan 29, 2020",W.VA,81,TEXTK,89,W,-2.5,W,132.5,O
7,"Jan 25, 2020",KENTY,76,TEXTK,74,L,-3.5,L,133.0,O
8,"Jan 21, 2020",TEXTK,54,TCU,65,L,2.5,L,126.5,U
9,"Jan 18, 2020",IOWAS,52,TEXTK,72,W,-8.0,W,136.0,U
10,"Jan 14, 2020",TEXTK,77,KANST,63,W,4.0,W,125.0,O
11,"Jan 11, 2020",TEXTK,54,W.VA,66,L,-4.5,L,130.5,U
12,"Jan 7, 2020",BAYLR,57,TEXTK,52,L,-3.5,L,130.0,U
13,"Jan 4, 2020",OKST,50,TEXTK,85,W,-5.5,W,130.0,O
14,"Dec 29, 2019",CSBAK,58,TEXTK,73,W,-20.0,L,130.0,O
15,"Dec 21, 2019",UTRGV,58,TEXTK,68,W,-24.0,L,138.0,U
16,"Dec 16, 2019",S.MISS,65,TEXTK,71,W,-22.0,L,129.5,O
17,"Dec 10, 2019",LOUIS,57,TEXTK,70,W,7.5,W,127.0,P
18,"Dec 4, 2019",TEXTK,60,DPAUL,65,L,1.5,L,135.5,U
19,"Nov 29, 2019",TEXTK,76,CREIG,83,L,6.0,L,139.0,O
20,"Nov 28, 2019",IOWA,72,TEXTK,61,L,-7.0,L,144.0,U
21,"Nov 24, 2019",LIU,66,TEXTK,96,W,-24.0,W,145.0,O
22,"Nov 21, 2019",TN.ST,57,TEXTK,72,W,-24.5,L,140.5,U
23,"Nov 13, 2019",TEXTK,103,HOUBPT,74,W,24.5,W,151.0,O
24,"Nov 9, 2019",BCOOK,44,TEXTK,79,W,-28.0,W,144.5,U
25,"Nov 5, 2019",E.ILL,60,TEXTK,85,W,-22.0,W,138.5,O
26,"Apr 8, 2019",TEXTK,77,VIRGA,85,L,-1.5,L,119.5,O
27,"Apr 6, 2019",TEXTK,61,MICHS,51,W,-2.0,W,132.5,U
28,"Mar 30, 2019",TEXTK,75,GONZG,69,W,-5.0,W,140.0,O
29,"Mar 28, 2019",TEXTK,63,MICH,44,W,-1.5,W,125.0,U
