,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",TCU,56,TEXAS,70,W,-1.5,W,123.0,O
1,"Feb 15, 2020",TEXAS,52,IOWAS,81,L,-3.0,L,132.5,O
2,"Feb 10, 2020",BAYLR,52,TEXAS,45,L,6.0,L,128.0,U
3,"Feb 8, 2020",TEXTK,62,TEXAS,57,L,2.5,L,129.5,U
4,"Feb 3, 2020",TEXAS,58,KANSA,69,L,-14.5,W,131.5,U
5,"Feb 1, 2020",IOWAS,68,TEXAS,72,W,-3.0,W,137.5,O
6,"Jan 29, 2020",TEXAS,62,TCU,61,W,-4.0,W,127.0,U
7,"Jan 25, 2020",LSU,69,TEXAS,67,L,-1.5,L,142.0,U
8,"Jan 20, 2020",TEXAS,59,W.VA,97,L,-9.0,L,130.0,O
9,"Jan 18, 2020",KANSA,66,TEXAS,57,L,7.5,L,130.0,U
10,"Jan 15, 2020",TEXAS,76,OKST,64,W,-3.5,W,124.5,O
11,"Jan 11, 2020",KANST,50,TEXAS,64,W,-5.0,W,122.5,U
12,"Jan 8, 2020",OKLA,72,TEXAS,62,L,-3.5,L,135.5,U
13,"Jan 4, 2020",TEXAS,44,BAYLR,59,L,-8.5,L,129.5,U
14,"Dec 30, 2019",HIGHP,58,TEXAS,89,W,-26.5,W,126.5,O
15,"Dec 21, 2019",TEXAS,48,PROV,70,L,-1.0,L,133.5,U
16,"Dec 14, 2019",CMICH,76,TEXAS,87,W,-14.0,L,146.0,O
17,"Dec 8, 2019",TEXAS,60,TEXAM,50,W,10.5,L,124.5,U
18,"Dec 3, 2019",UAB,57,TEXAS,67,W,-14.5,L,122.0,O
19,"Nov 30, 2019",MCNEE,71,TEXAS,73,W,-23.0,L,133.5,O
20,"Nov 22, 2019",TEXAS,62,CAL,45,W,11.0,W,124.5,U
21,"Nov 21, 2019",TEXAS,66,GTOWN,82,L,6.5,L,141.5,O
22,"Nov 15, 2019",PVA&M,56,TEXAS,70,W,-26.0,L,135.5,U
23,"Nov 12, 2019",CALBAP,54,TEXAS,67,W,-16.5,L,133.5,U
24,"Nov 9, 2019",TEXAS,70,PURDU,66,W,-7.0,W,130.5,O
25,"Nov 5, 2019",NCOLO,45,TEXAS,69,W,-16.5,W,134.5,U
26,"Apr 4, 2019",LIPSC,66,TEXAS,81,W,-1.5,W,142.5,O
27,"Apr 2, 2019",TEXAS,58,TCU,44,W,-1.0,W,136.5,U
28,"Mar 27, 2019",COLO,55,TEXAS,68,W,-5.0,W,138.0,U
29,"Mar 24, 2019",XAVIR,76,TEXAS,78,W,-4.5,L,139.5,O
