,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",CHATT,91,CITDL,68,L,8.5,L,151.0,O
1,"Feb 15, 2020",SAMFD,74,CITDL,62,L,1.5,L,164.5,U
2,"Feb 12, 2020",CITDL,67,E.TEN,91,L,-21.0,L,151.0,O
3,"Feb 8, 2020",VMI,75,CITDL,64,L,2.0,L,159.0,U
4,"Feb 5, 2020",CITDL,68,NCGRE,88,L,-20.0,P,151.5,O
5,"Feb 1, 2020",CITDL,71,MERCR,76,L,-11.0,W,154.0,U
6,"Jan 29, 2020",WOFFD,79,CITDL,56,L,8.5,L,153.0,U
7,"Jan 25, 2020",FURMN,78,CITDL,54,L,13.5,L,159.5,U
8,"Jan 22, 2020",CITDL,69,CHATT,92,L,-11.5,L,152.5,O
9,"Jan 18, 2020",CITDL,79,VMI,88,L,-3.5,L,157.0,O
10,"Jan 15, 2020",NCGRE,79,CITDL,69,L,11.5,W,148.0,P
11,"Jan 11, 2020",CITDL,71,WOFFD,73,L,-15.0,W,153.5,U
12,"Jan 4, 2020",W.CAR,86,CITDL,82,L,6.5,W,165.0,O
13,"Jan 1, 2020",CITDL,68,SAMFD,69,L,-7.5,W,169.5,U
14,"Dec 22, 2019",CITDL,63,NCST,83,L,-26.0,W,167.0,U
15,"Dec 19, 2019",CITDL,102,LONGW,99,W,-5.5,W,159.0,O
16,"Dec 10, 2019",PIEDMT,83,CITDL,129,W,0.0,,0.0,
17,"Dec 7, 2019",CARVER,40,CITDL,108,W,0.0,,0.0,
18,"Dec 4, 2019",E.TEN,96,CITDL,84,L,17.0,W,157.0,O
19,"Nov 26, 2019",BREVR,47,CITDL,90,W,0.0,,0.0,
20,"Nov 23, 2019",CITDL,79,MARST,75,W,-3.0,W,141.0,O
21,"Nov 20, 2019",CITDL,57,ILL,85,L,-27.0,L,162.0,U
22,"Nov 19, 2019",CITDL,74,SEMIZ,69,W,-7.0,W,167.5,U
23,"Nov 16, 2019",CAMBP,87,CITDL,73,L,2.0,L,158.0,O
24,"Nov 12, 2019",CITDL,86,GA,95,L,-28.0,W,170.5,O
25,"Nov 9, 2019",NCASH,91,CITDL,76,L,-1.0,L,154.0,O
26,"Mar 8, 2019",CITDL,71,SAMFD,100,L,-6.5,L,162.0,O
27,"Mar 2, 2019",CITDL,78,VMI,81,L,1.0,L,170.5,U
28,"Feb 28, 2019",NCGRE,100,CITDL,96,L,6.5,W,152.5,O
29,"Feb 23, 2019",SAMFD,83,CITDL,87,W,2.0,W,167.0,O
