,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 14, 2020",BUFF,83,TOLDO,67,L,-2.5,L,154.0,U
1,"Feb 11, 2020",MIAOH,57,TOLDO,65,W,-9.0,L,142.5,U
2,"Feb 8, 2020",TOLDO,83,BOWLG,85,L,-2.0,P,148.0,O
3,"Feb 4, 2020",N.ILL,66,TOLDO,61,L,-6.5,L,134.0,U
4,"Feb 1, 2020",TOLDO,57,EMICH,61,L,3.5,L,133.5,U
5,"Jan 28, 2020",KENT,83,TOLDO,70,L,-4.0,L,146.0,O
6,"Jan 25, 2020",BOWLG,85,TOLDO,79,L,-5.0,L,148.0,O
7,"Jan 21, 2020",TOLDO,83,OHIO,74,W,1.0,W,141.0,O
8,"Jan 18, 2020",TOLDO,99,AKRON,89,W,-6.5,W,138.0,O
9,"Jan 14, 2020",CMICH,74,TOLDO,67,L,-9.0,L,151.0,U
10,"Jan 11, 2020",WMICH,59,TOLDO,67,W,-11.5,L,144.5,U
11,"Jan 7, 2020",TOLDO,77,KENT,84,L,-3.5,L,144.0,O
12,"Jan 3, 2020",TOLDO,57,BALL,61,L,-1.5,L,137.0,U
13,"Dec 28, 2019",TOLDO,66,BRAD,78,L,1.0,L,134.5,O
14,"Dec 21, 2019",WRIGH,79,TOLDO,72,L,-5.0,L,146.0,O
15,"Dec 17, 2019",TOLDO,57,UMKC,72,L,7.5,L,137.0,U
16,"Dec 14, 2019",TOLDO,80,DETRT,72,W,12.5,L,154.5,U
17,"Dec 8, 2019",MARSH,72,TOLDO,82,W,-11.0,L,151.0,O
18,"Dec 4, 2019",TOLDO,80,CLEST,65,W,13.0,W,135.0,O
19,"Nov 30, 2019",OAKLN,63,TOLDO,65,W,-11.0,L,129.0,U
20,"Nov 23, 2019",NWOH,41,TOLDO,100,W,0.0,,0.0,
21,"Nov 21, 2019",TOLDO,62,ND,64,L,-8.0,W,141.0,U
22,"Nov 17, 2019",HOWRD,68,TOLDO,112,W,-23.5,W,147.0,O
23,"Nov 16, 2019",ROBMO,56,TOLDO,70,W,-17.0,L,135.0,U
24,"Nov 10, 2019",TOLDO,96,MARSH,70,W,2.0,W,151.5,O
25,"Nov 5, 2019",TOLDO,77,VALPO,79,L,3.0,L,134.5,O
26,"Mar 20, 2019",TOLDO,64,XAVIR,78,L,-6.0,L,143.5,U
27,"Mar 14, 2019",N.ILL,80,TOLDO,76,L,-6.5,L,138.0,O
28,"Mar 8, 2019",EMICH,58,TOLDO,64,W,-9.0,L,134.0,U
29,"Mar 5, 2019",WMICH,57,TOLDO,76,W,-16.0,W,144.5,U
