,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",TOWSN,63,JMU,48,W,2.5,W,150.5,U
1,"Feb 8, 2020",TOWSN,0,DREXL,0,T,0.0,,0.0,
2,"Feb 6, 2020",TOWSN,78,DELA,84,L,-3.5,L,142.0,O
3,"Feb 1, 2020",COLCH,79,TOWSN,70,L,-2.0,L,136.0,O
4,"Jan 30, 2020",NCWIL,66,TOWSN,77,W,-10.0,W,133.0,O
5,"Jan 25, 2020",TOWSN,70,W&M,58,W,-5.0,W,138.0,U
6,"Jan 23, 2020",TOWSN,72,ELON,61,W,5.5,W,134.5,U
7,"Jan 18, 2020",JMU,61,TOWSN,69,W,-8.0,P,147.5,U
8,"Jan 11, 2020",DELA,68,TOWSN,84,W,-2.0,W,137.0,O
9,"Jan 9, 2020",DREXL,73,TOWSN,89,W,-4.5,W,131.0,O
10,"Jan 4, 2020",TOWSN,67,NCWIL,60,W,4.5,W,131.5,U
11,"Jan 2, 2020",TOWSN,69,COLCH,81,L,-6.0,L,131.5,O
12,"Dec 30, 2019",HOFST,75,TOWSN,67,L,1.5,L,140.0,O
13,"Dec 28, 2019",NEAST,61,TOWSN,45,L,-2.0,L,135.5,U
14,"Dec 21, 2019",TULAN,82,TOWSN,86,W,-1.0,W,132.0,O
15,"Dec 20, 2019",LIBRT,66,TOWSN,54,L,7.0,L,120.5,U
16,"Dec 10, 2019",UMBC,71,TOWSN,77,W,-8.5,L,127.5,O
17,"Dec 7, 2019",TOWSN,38,VERMT,55,L,-7.5,L,130.0,U
18,"Dec 4, 2019",TOWSN,76,MORGN,59,W,6.0,W,136.5,U
19,"Nov 24, 2019",STJOE,64,TOWSN,76,W,1.5,W,148.0,U
20,"Nov 22, 2019",TOWSN,73,BUFF,76,L,-5.0,W,144.0,O
21,"Nov 21, 2019",XAVIR,73,TOWSN,51,L,10.0,L,132.5,U
22,"Nov 14, 2019",TOWSN,60,FLA,66,L,-18.0,W,129.0,U
23,"Nov 11, 2019",KENT,84,TOWSN,80,L,-3.0,L,138.5,O
24,"Nov 8, 2019",BRNATH,31,TOWSN,100,W,0.0,,0.0,
25,"Nov 5, 2019",GWASH,58,TOWSN,72,W,-5.5,W,134.5,U
26,"Mar 9, 2019",TOWSN,73,JMU,74,L,-1.0,P,130.5,O
27,"Mar 2, 2019",ELON,86,TOWSN,66,L,-4.5,L,136.0,O
28,"Feb 28, 2019",W&M,67,TOWSN,65,L,3.0,W,140.0,U
29,"Feb 23, 2019",TOWSN,58,NEAST,73,L,-12.0,L,133.5,U
