,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",ULLAF,81,TROY,77,L,1.5,L,147.5,O
1,"Feb 13, 2020",ULMON,74,TROY,71,L,-6.0,L,133.0,O
2,"Feb 7, 2020",S.ALA,70,TROY,66,L,4.0,P,140.0,U
3,"Feb 1, 2020",TROY,84,GAST,78,W,-13.0,W,148.5,O
4,"Jan 30, 2020",TROY,57,GASOU,86,L,-11.0,L,146.0,U
5,"Jan 25, 2020",ARKST,78,TROY,62,L,-1.5,L,141.0,U
6,"Jan 22, 2020",TROY,63,ARKLR,81,L,-9.0,L,137.0,O
7,"Jan 18, 2020",GAST,65,TROY,75,W,7.5,W,148.0,U
8,"Jan 16, 2020",GASOU,82,TROY,66,L,6.0,L,144.5,O
9,"Jan 11, 2020",TROY,68,ARKST,76,L,-4.5,L,141.5,O
10,"Jan 9, 2020",ARKLR,71,TROY,76,W,1.5,W,139.0,O
11,"Jan 6, 2020",TROY,71,TEXST,63,W,-10.5,W,133.5,O
12,"Jan 4, 2020",TROY,62,ULLAF,79,L,-4.0,L,145.5,U
13,"Jan 2, 2020",TROY,63,ULMON,79,L,-2.0,L,135.0,O
14,"Dec 21, 2019",APPST,70,TROY,65,L,4.5,L,135.5,U
15,"Dec 19, 2019",COCAR,59,TROY,77,W,4.5,W,145.5,U
16,"Dec 15, 2019",TROY,80,CHATT,84,L,-7.0,W,138.0,O
17,"Dec 11, 2019",TROY,60,JAXST,55,W,-4.5,W,136.5,U
18,"Dec 4, 2019",N.ALAB,63,TROY,71,W,-1.0,W,137.0,U
19,"Nov 30, 2019",SHORT,53,TROY,104,W,0.0,,0.0,
20,"Nov 25, 2019",TROY,66,ALA&M,80,L,10.5,L,138.5,O
21,"Nov 23, 2019",TROY,60,SAMFD,72,L,-8.5,L,142.5,U
22,"Nov 20, 2019",TROY,52,TEXAM,56,L,-16.5,W,133.5,U
23,"Nov 18, 2019",CARVER,57,TROY,84,W,-50.5,L,154.5,U
24,"Nov 16, 2019",TROY,62,INDY,100,L,-21.5,L,145.5,O
25,"Nov 12, 2019",CHATT,74,TROY,68,L,-3.0,L,142.5,U
26,"Nov 7, 2019",UAB,76,TROY,75,L,7.5,W,140.0,O
27,"Mar 9, 2019",TROY,74,COCAR,67,W,-11.0,W,145.5,U
28,"Mar 7, 2019",TROY,64,APPST,72,L,-9.5,W,151.5,U
29,"Mar 2, 2019",TEXAR,79,TROY,66,L,5.0,L,133.5,O
