,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",SMU,72,TULAN,80,W,6.5,W,139.5,O
1,"Feb 16, 2020",TULAN,57,WICHI,82,L,-15.5,L,136.0,O
2,"Feb 12, 2020",TEMPL,72,TULAN,68,L,3.0,L,137.5,O
3,"Feb 8, 2020",E.CAR,81,TULAN,67,L,-5.5,L,141.0,O
4,"Feb 6, 2020",TULAN,62,HOUST,75,L,-16.5,W,135.5,O
5,"Feb 1, 2020",TULAN,67,SMU,82,L,-12.5,L,138.0,O
6,"Jan 29, 2020",S.FLA,66,TULAN,52,L,1.0,L,127.5,U
7,"Jan 25, 2020",TULAN,62,E.CAR,81,L,1.5,L,139.0,O
8,"Jan 18, 2020",TULSA,67,TULAN,54,L,-1.0,L,132.5,U
9,"Jan 14, 2020",UCF,74,TULAN,55,L,-2.0,L,135.5,U
10,"Jan 11, 2020",TULAN,65,TEMPL,51,W,-9.0,W,137.0,U
11,"Jan 8, 2020",TULAN,61,UCONN,67,L,-10.5,W,135.0,U
12,"Jan 4, 2020",CINCY,71,TULAN,76,W,7.5,W,141.5,O
13,"Dec 30, 2019",TULAN,73,MEMPH,84,L,-15.0,W,144.0,O
14,"Dec 21, 2019",TULAN,82,TOWSN,86,L,-1.0,L,132.0,O
15,"Dec 20, 2019",AKRON,62,TULAN,61,L,4.5,W,138.5,U
16,"Dec 16, 2019",ALCRN,57,TULAN,68,W,-16.5,L,143.5,U
17,"Dec 8, 2019",TULAN,62,STL,86,L,-4.5,L,133.0,O
18,"Dec 4, 2019",TULAN,61,S.MISS,56,W,2.0,W,137.5,U
19,"Dec 1, 2019",SUTHR,65,TULAN,82,W,-14.0,W,137.5,O
20,"Nov 24, 2019",TULAN,65,UTAH,61,W,-7.5,W,149.0,U
21,"Nov 22, 2019",MIDTN,74,TULAN,86,W,-3.0,W,150.0,O
22,"Nov 21, 2019",MISST,80,TULAN,66,L,10.0,L,137.5,O
23,"Nov 16, 2019",NWST,52,TULAN,79,W,-13.5,W,144.0,U
24,"Nov 12, 2019",JACKS,79,TULAN,88,W,-11.0,L,137.0,O
25,"Nov 6, 2019",SELA,55,TULAN,76,W,-7.5,W,144.0,U
26,"Mar 14, 2019",TULAN,68,MEMPH,83,L,-16.5,W,154.5,U
27,"Mar 9, 2019",WICHI,82,TULAN,79,L,11.0,W,145.5,O
28,"Mar 6, 2019",S.FLA,75,TULAN,70,L,8.0,W,136.0,O
29,"Mar 3, 2019",TULAN,69,TEMPL,80,L,-17.0,W,148.0,O
