,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",TULSA,43,HOUST,76,L,-10.0,L,129.5,U
1,"Feb 15, 2020",TULSA,56,S.FLA,48,W,-3.0,W,122.0,U
2,"Feb 12, 2020",E.CAR,56,TULSA,70,W,-10.5,W,133.5,U
3,"Feb 9, 2020",TULSA,75,UCF,83,L,-3.0,L,127.5,O
4,"Feb 6, 2020",UCONN,72,TULSA,56,L,-3.0,L,126.0,O
5,"Feb 1, 2020",WICHI,51,TULSA,54,W,2.5,W,131.5,U
6,"Jan 26, 2020",TULSA,79,UCONN,75,W,-5.5,W,127.5,O
7,"Jan 22, 2020",MEMPH,40,TULSA,80,W,3.0,W,139.0,U
8,"Jan 18, 2020",TULSA,67,TULAN,54,W,-1.0,W,132.5,U
9,"Jan 15, 2020",TULSA,65,E.CAR,49,W,2.5,W,138.0,U
10,"Jan 11, 2020",HOUST,61,TULSA,63,W,6.5,W,136.0,U
11,"Jan 8, 2020",TULSA,44,CINCY,75,L,-9.0,L,137.0,U
12,"Jan 3, 2020",TEMPL,44,TULSA,70,W,2.5,W,138.5,U
13,"Dec 29, 2019",TULSA,67,KANST,69,L,-8.0,W,127.0,O
14,"Dec 21, 2019",COLST,111,TULSA,104,L,-3.0,L,134.5,O
15,"Dec 14, 2019",TULSA,79,ARK,98,L,-11.0,L,128.5,O
16,"Dec 11, 2019",BOISE,56,TULSA,69,W,-2.0,W,134.0,U
17,"Dec 7, 2019",ARKST,66,TULSA,63,L,-12.5,L,132.0,U
18,"Dec 4, 2019",ARKPB,39,TULSA,72,W,-21.5,W,124.0,U
19,"Nov 30, 2019",TULSA,67,VANDY,58,W,-4.5,W,140.0,U
20,"Nov 27, 2019",SC.ST,47,TULSA,78,W,-21.5,W,137.5,U
21,"Nov 20, 2019",SELA,66,TULSA,73,W,-16.0,L,132.5,O
22,"Nov 16, 2019",APEAY,65,TULSA,72,W,-7.5,L,145.5,U
23,"Nov 12, 2019",ORALR,67,TULSA,74,W,-6.0,W,151.5,U
24,"Nov 9, 2019",TULSA,59,TEXAR,73,L,-1.5,L,141.5,U
25,"Nov 5, 2019",HOUBPT,72,TULSA,80,W,-15.5,L,158.5,U
26,"Mar 14, 2019",SMU,74,TULSA,65,L,2.5,L,140.0,U
27,"Mar 9, 2019",TULSA,63,MEMPH,66,L,-8.5,W,158.5,U
28,"Mar 3, 2019",E.CAR,78,TULSA,91,W,-10.0,W,141.5,O
29,"Feb 28, 2019",TULAN,64,TULSA,72,W,-12.0,L,148.5,U
