,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 20, 2020",UCDAV,77,CALPO,62,W,3.0,W,142.5,U
1,"Feb 15, 2020",CSNOR,98,UCDAV,110,W,-2.5,W,150.5,O
2,"Feb 13, 2020",SABAR,75,UCDAV,84,W,3.0,W,139.0,O
3,"Feb 8, 2020",UCDAV,87,FULLR,81,W,-2.5,W,138.5,O
4,"Feb 6, 2020",UCDAV,72,UCI,83,L,-12.0,W,138.5,O
5,"Feb 1, 2020",CALPO,51,UCDAV,66,W,-8.5,W,139.0,U
6,"Jan 30, 2020",UCI,80,UCDAV,65,L,4.5,L,138.0,O
7,"Jan 26, 2020",UCDAV,75,HAWAI,76,L,-8.0,W,140.5,O
8,"Jan 22, 2020",FULLR,78,UCDAV,74,L,-4.5,L,132.0,O
9,"Jan 18, 2020",UCDAV,66,CSNOR,62,W,-5.5,W,152.0,U
10,"Jan 16, 2020",UCDAV,85,LONGB,82,W,-1.0,W,138.5,O
11,"Jan 9, 2020",UCRIV,65,UCDAV,59,L,-3.0,L,128.5,U
12,"Jan 3, 2020",HOLYN,41,UCDAV,101,W,0.0,,0.0,
13,"Dec 29, 2019",UCDAV,69,NEWMX,74,L,-13.0,W,147.5,U
14,"Dec 21, 2019",UCDAV,84,SF,93,L,-13.5,W,144.0,O
15,"Dec 16, 2019",LOYMA,65,UCDAV,67,W,-1.5,W,128.5,O
16,"Dec 14, 2019",UCDAV,54,SD,58,L,-7.0,W,134.5,U
17,"Dec 7, 2019",N.ILL,57,UCDAV,66,W,4.0,W,131.0,U
18,"Dec 4, 2019",UCDAV,85,NARIZ,66,W,-6.0,W,134.0,O
19,"Nov 29, 2019",UCDAV,73,UTAH,77,L,-17.0,W,133.0,O
20,"Nov 26, 2019",UCDAV,66,CAL,72,L,-12.0,W,125.0,O
21,"Nov 23, 2019",UCDAV,62,PORTL,72,L,-7.0,L,131.5,O
22,"Nov 20, 2019",SACRA,61,UCDAV,51,L,5.5,L,126.5,U
23,"Nov 17, 2019",VMI,89,UCDAV,84,L,-3.0,L,129.0,O
24,"Nov 15, 2019",UCDAV,67,ARKST,80,L,-4.0,L,131.0,O
25,"Nov 14, 2019",IDAHO,64,UCDAV,65,W,-5.0,L,130.0,U
26,"Nov 7, 2019",WILJS,63,UCDAV,109,W,0.0,,0.0,
27,"Nov 5, 2019",UCDAV,48,LOYCH,82,L,-12.5,L,126.0,O
28,"Mar 14, 2019",UCDAV,71,FULLR,75,L,-2.0,L,130.5,O
29,"Mar 9, 2019",UCRIV,71,UCDAV,70,L,-9.0,L,126.5,O
