,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 22, 2020",UCI,87,CSNOR,64,W,5.5,W,149.0,O
1,"Feb 19, 2020",LONGB,55,UCI,70,W,-15.0,P,142.0,U
2,"Feb 16, 2020",UCI,70,HAWAI,63,W,2.5,W,137.0,U
3,"Feb 12, 2020",UCI,63,UCRIV,59,W,5.0,L,128.5,U
4,"Feb 8, 2020",UCI,61,SABAR,64,L,-1.5,L,137.5,U
5,"Feb 6, 2020",UCDAV,72,UCI,83,W,-12.0,L,138.5,O
6,"Feb 1, 2020",FULLR,61,UCI,91,W,-11.5,W,136.5,O
7,"Jan 30, 2020",UCI,80,UCDAV,65,W,4.5,W,138.0,O
8,"Jan 25, 2020",CALPO,67,UCI,74,W,-16.0,L,132.5,O
9,"Jan 22, 2020",UCI,56,LONGB,63,L,10.0,L,142.0,U
10,"Jan 18, 2020",UCRIV,53,UCI,69,W,-9.0,W,128.5,U
11,"Jan 15, 2020",UCI,74,FULLR,61,W,7.0,W,132.0,O
12,"Jan 11, 2020",HAWAI,60,UCI,74,W,-6.5,W,140.0,U
13,"Jan 4, 2020",UCI,73,HARVD,77,L,-5.5,W,135.0,O
14,"Dec 28, 2019",PACIF,56,UCI,69,W,-6.0,W,128.0,U
15,"Dec 20, 2019",UCI,67,ILCHI,76,L,5.0,L,137.5,O
16,"Dec 17, 2019",UCI,61,UTEP,67,L,-2.5,L,127.0,O
17,"Dec 16, 2019",KENT,68,UCI,74,W,2.5,W,137.5,O
18,"Dec 14, 2019",PACUNI,63,UCI,120,W,0.0,,0.0,
19,"Dec 7, 2019",CALBAP,68,UCI,60,L,-10.0,L,146.5,U
20,"Nov 30, 2019",EMICH,56,UCI,77,W,-9.0,W,123.5,O
21,"Nov 26, 2019",UCI,92,ULLAF,67,W,6.5,W,143.0,O
22,"Nov 24, 2019",UCI,74,DETRT,86,L,12.0,L,142.5,O
23,"Nov 21, 2019",UCI,58,TCU,59,L,-11.5,W,131.5,U
24,"Nov 18, 2019",UCI,53,COLO,69,L,-11.0,L,136.0,U
25,"Nov 15, 2019",UCI,69,BOISE,60,W,-4.5,W,141.0,U
26,"Nov 12, 2019",LIFEPC,52,UCI,98,W,0.0,,0.0,
27,"Nov 9, 2019",UCI,73,PEPPR,77,L,-1.0,L,147.5,O
28,"Nov 5, 2019",UCI,76,SD,73,W,5.5,L,133.5,O
29,"Mar 24, 2019",UCI,54,OREG,73,L,-4.5,L,127.0,P
