,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 20, 2020",UCLA,69,UTAH,58,W,-3.5,W,134.0,U
1,"Feb 15, 2020",WASH,57,UCLA,67,W,-3.5,W,134.5,U
2,"Feb 13, 2020",WASST,83,UCLA,86,W,-7.5,L,136.5,O
3,"Feb 8, 2020",UCLA,65,ARIZ,52,W,-12.5,W,137.5,U
4,"Feb 6, 2020",UCLA,66,ARZST,84,L,-6.0,L,140.5,O
5,"Feb 2, 2020",UTAH,57,UCLA,73,W,-4.0,W,136.5,U
6,"Jan 30, 2020",COLO,68,UCLA,72,W,4.5,W,133.5,O
7,"Jan 26, 2020",UCLA,75,OREG,96,L,-11.5,L,131.0,O
8,"Jan 23, 2020",UCLA,62,OREST,58,W,-8.0,W,134.0,U
9,"Jan 19, 2020",CAL,40,UCLA,50,W,-9.0,W,131.0,U
10,"Jan 15, 2020",STANF,74,UCLA,59,L,-1.0,L,132.5,O
11,"Jan 11, 2020",USC,74,UCLA,63,L,-1.5,L,138.5,U
12,"Jan 4, 2020",UCLA,71,WASST,79,L,2.0,L,138.0,O
13,"Jan 2, 2020",UCLA,66,WASH,64,W,-8.5,W,138.0,U
14,"Dec 28, 2019",FULLR,77,UCLA,74,L,-15.5,L,131.0,O
15,"Dec 21, 2019",UCLA,64,UNC,74,L,-3.0,L,139.0,U
16,"Dec 14, 2019",UCLA,61,ND,75,L,-6.0,L,137.5,U
17,"Dec 8, 2019",DENVR,62,UCLA,81,W,-20.0,L,136.5,O
18,"Dec 1, 2019",SJ.ST,64,UCLA,93,W,-22.5,W,134.5,O
19,"Nov 27, 2019",MICHS,75,UCLA,62,L,14.0,W,141.5,U
20,"Nov 26, 2019",UCLA,74,CHAMI,48,W,21.5,W,155.5,U
21,"Nov 25, 2019",BYU,78,UCLA,63,L,-1.5,L,139.5,O
22,"Nov 21, 2019",HOFST,88,UCLA,78,L,-14.5,L,144.5,O
23,"Nov 18, 2019",SUTAH,61,UCLA,76,W,-13.0,W,136.5,O
24,"Nov 15, 2019",UNLV,54,UCLA,71,W,-8.0,W,130.0,U
25,"Nov 10, 2019",SABAR,61,UCLA,77,W,-5.5,W,138.0,P
26,"Nov 6, 2019",LONGB,65,UCLA,69,W,-17.0,L,144.5,U
27,"Mar 14, 2019",UCLA,72,ARZST,83,L,-4.5,L,153.0,O
28,"Mar 13, 2019",STANF,72,UCLA,79,W,1.5,W,152.0,U
29,"Mar 9, 2019",UCLA,81,UTAH,92,L,-6.0,L,157.5,O
