,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 20, 2020",NCASH,64,RADFD,79,L,-9.5,L,143.5,U
1,"Feb 15, 2020",CHASO,75,NCASH,79,W,-3.5,W,144.0,O
2,"Feb 13, 2020",LONGW,71,NCASH,73,W,-6.0,L,143.5,O
3,"Feb 10, 2020",NCASH,70,HAMPT,80,L,-2.5,L,161.5,U
4,"Feb 6, 2020",USCUP,71,NCASH,84,W,-4.5,W,147.0,O
5,"Feb 1, 2020",NCASH,71,WINTH,104,L,-13.0,L,153.0,O
6,"Jan 30, 2020",G.WEB,70,NCASH,56,L,1.5,L,148.0,U
7,"Jan 25, 2020",NCASH,63,USCUP,80,L,2.5,L,148.0,U
8,"Jan 23, 2020",RADFD,67,NCASH,80,W,3.5,W,141.5,O
9,"Jan 20, 2020",NCASH,71,LONGW,66,W,1.0,W,148.0,U
10,"Jan 18, 2020",HAMPT,88,NCASH,86,L,-6.0,L,159.5,O
11,"Jan 16, 2020",HIGHP,68,NCASH,66,L,-13.5,L,144.0,U
12,"Jan 11, 2020",NCASH,71,CHASO,69,W,1.0,W,149.0,U
13,"Jan 8, 2020",CAMBP,64,NCASH,62,L,-3.5,L,145.0,U
14,"Jan 2, 2020",NCASH,77,PRESB,79,L,5.5,L,144.5,O
15,"Dec 21, 2019",CHATT,68,NCASH,64,L,-2.0,L,148.0,U
16,"Dec 17, 2019",STETS,76,NCASH,78,W,-9.5,L,143.0,O
17,"Dec 14, 2019",TNMAR,72,NCASH,91,W,-4.0,W,155.5,O
18,"Dec 11, 2019",NCASH,85,SC.ST,90,L,5.5,L,147.5,O
19,"Dec 7, 2019",NCASH,77,W.CAR,78,L,-6.5,W,160.0,U
20,"Dec 3, 2019",NCASH,83,CHARL,75,W,-8.0,W,137.5,O
21,"Nov 21, 2019",STAND,69,NCASH,105,W,0.0,,0.0,
22,"Nov 16, 2019",BREVR,49,NCASH,79,W,0.0,,0.0,
23,"Nov 13, 2019",NCASH,79,WAKE,98,L,-13.0,L,145.0,O
24,"Nov 9, 2019",NCASH,91,CITDL,76,W,-1.0,W,154.0,O
25,"Nov 5, 2019",NCASH,63,TENN,78,L,-27.0,W,141.0,P
26,"Mar 5, 2019",NCASH,59,PRESB,106,L,-15.0,L,134.5,O
27,"Mar 2, 2019",HIGHP,79,NCASH,74,L,8.5,W,120.0,O
28,"Feb 27, 2019",NCASH,48,CHASO,77,L,-16.0,L,133.5,U
29,"Feb 23, 2019",PRESB,71,NCASH,55,L,9.5,L,136.0,U
