,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",WOFFD,79,NCGRE,83,W,-9.0,L,133.0,O
1,"Feb 15, 2020",NCGRE,67,MERCR,55,W,7.0,W,136.5,U
2,"Feb 12, 2020",W.CAR,62,NCGRE,82,W,-11.5,W,146.5,U
3,"Feb 9, 2020",SAMFD,67,NCGRE,95,W,-18.0,W,144.5,O
4,"Feb 5, 2020",CITDL,68,NCGRE,88,W,-20.0,P,151.5,O
5,"Feb 1, 2020",NCGRE,65,E.TEN,82,L,-3.0,L,129.0,O
6,"Jan 29, 2020",NCGRE,72,W.CAR,58,W,5.5,W,148.0,U
7,"Jan 25, 2020",NCGRE,70,SAMFD,63,W,12.0,L,147.5,U
8,"Jan 18, 2020",CHATT,52,NCGRE,72,W,-10.5,W,130.5,U
9,"Jan 15, 2020",NCGRE,79,CITDL,69,W,11.5,L,148.0,P
10,"Jan 11, 2020",NCGRE,86,FURMN,73,W,-5.0,W,134.0,O
11,"Jan 8, 2020",E.TEN,64,NCGRE,57,L,-1.0,L,130.0,U
12,"Jan 4, 2020",NCGRE,92,WOFFD,98,L,-2.0,L,129.0,O
13,"Jan 1, 2020",MERCR,63,NCGRE,72,W,-13.5,L,130.5,O
14,"Dec 28, 2019",WMPEAC,34,NCGRE,106,W,0.0,,0.0,
15,"Dec 21, 2019",N.KENT,50,NCGRE,67,W,-8.0,W,128.5,U
16,"Dec 18, 2019",NCGRE,54,VERMT,53,W,-5.5,W,123.5,U
17,"Dec 15, 2019",NCST,80,NCGRE,77,L,2.0,L,136.0,O
18,"Dec 7, 2019",NCGRE,60,RADFD,58,W,1.5,W,128.0,U
19,"Dec 4, 2019",KENNE,54,NCGRE,72,W,-25.0,L,124.5,O
20,"Nov 30, 2019",NCGRE,65,GTOWN,61,W,-6.0,W,141.0,U
21,"Nov 24, 2019",VMI,63,NCGRE,74,W,-19.5,L,129.0,O
22,"Nov 18, 2019",APPST,41,NCGRE,55,W,-9.5,W,131.5,U
23,"Nov 16, 2019",MONST,67,NCGRE,66,L,-15.0,L,136.5,U
24,"Nov 15, 2019",TNTEC,30,NCGRE,64,W,-15.5,W,136.0,U
25,"Nov 11, 2019",AVERTT,51,NCGRE,109,W,0.0,,0.0,
26,"Nov 8, 2019",NCGRE,62,KANSA,74,L,-14.5,W,139.5,U
27,"Nov 5, 2019",NCA&T,50,NCGRE,83,W,-18.0,W,135.0,U
28,"Mar 23, 2019",LIPSC,86,NCGRE,69,L,-1.5,L,156.0,U
29,"Mar 19, 2019",CAMBP,69,NCGRE,84,W,-9.0,W,144.5,O
