,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",NCWIL,64,HOFST,78,L,-13.5,L,144.0,U
1,"Feb 13, 2020",NCWIL,63,NEAST,71,L,-13.0,W,138.0,U
2,"Feb 8, 2020",W&M,64,NCWIL,70,W,5.0,W,135.5,U
3,"Feb 6, 2020",ELON,62,NCWIL,56,L,-2.5,L,136.0,U
4,"Feb 1, 2020",NCWIL,66,JMU,83,L,-4.0,L,150.5,U
5,"Jan 30, 2020",NCWIL,66,TOWSN,77,L,-10.0,L,133.0,O
6,"Jan 25, 2020",NCWIL,72,COLCH,70,W,-13.0,W,134.0,O
7,"Jan 18, 2020",NEAST,74,NCWIL,76,W,7.5,W,133.5,O
8,"Jan 16, 2020",HOFST,63,NCWIL,61,L,8.0,W,144.5,U
9,"Jan 11, 2020",NCWIL,63,ELON,80,L,-3.0,L,135.5,O
10,"Jan 9, 2020",NCWIL,63,W&M,79,L,-12.0,L,140.0,O
11,"Jan 4, 2020",TOWSN,67,NCWIL,60,L,4.5,L,131.5,U
12,"Jan 2, 2020",JMU,64,NCWIL,60,L,3.0,L,154.0,U
13,"Dec 30, 2019",NCWIL,66,DREXL,71,L,-8.0,W,141.5,U
14,"Dec 28, 2019",NCWIL,68,DELA,82,L,-12.5,L,140.0,O
15,"Dec 21, 2019",NCWIL,73,VANDY,88,L,-15.0,P,142.5,O
16,"Dec 16, 2019",MERCR,72,NCWIL,63,L,-1.5,L,143.5,U
17,"Dec 7, 2019",CHARL,76,NCWIL,57,L,4.0,L,131.5,O
18,"Dec 1, 2019",NCWIL,54,STANF,72,L,-20.0,W,133.0,U
19,"Nov 29, 2019",NCWIL,59,BOISE,80,L,-14.5,L,138.0,O
20,"Nov 26, 2019",EMORY,66,NCWIL,122,W,0.0,,0.0,
21,"Nov 23, 2019",NCWIL,66,FLAIN,63,W,-10.0,W,150.0,U
22,"Nov 22, 2019",NCWIL,46,CLEST,47,L,5.5,L,146.0,U
23,"Nov 19, 2019",NCWES,53,NCWIL,113,W,0.0,,0.0,
24,"Nov 16, 2019",NCWIL,49,DAVID,87,L,-16.0,L,145.5,U
25,"Nov 12, 2019",CAMBP,76,NCWIL,81,W,-4.0,W,147.5,O
26,"Nov 8, 2019",UNC,78,NCWIL,62,L,22.0,W,160.0,U
27,"Nov 5, 2019",J&WCH,83,NCWIL,103,W,0.0,,0.0,
28,"Mar 10, 2019",NCWIL,59,NEAST,80,L,-10.5,L,150.0,U
29,"Mar 9, 2019",NCWIL,93,ELON,86,W,3.0,W,152.0,O
