,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",UT.ST,71,FRSNO,59,W,6.0,W,134.5,U
1,"Feb 11, 2020",UT.ST,75,COLST,72,W,2.0,W,143.5,O
2,"Feb 8, 2020",BOISE,61,UT.ST,70,W,-10.0,L,143.0,U
3,"Feb 5, 2020",UNLV,54,UT.ST,69,W,-11.0,W,142.0,U
4,"Feb 1, 2020",UT.ST,68,SD.ST,80,L,-7.0,L,131.5,O
5,"Jan 28, 2020",UT.ST,68,WYOM,45,W,13.5,W,127.5,U
6,"Jan 25, 2020",COLST,61,UT.ST,77,W,-9.0,W,141.5,U
7,"Jan 21, 2020",AIRFO,47,UT.ST,72,W,-14.0,W,145.0,U
8,"Jan 18, 2020",UT.ST,83,BOISE,88,L,2.0,L,143.0,O
9,"Jan 11, 2020",NEV,70,UT.ST,80,W,-9.5,W,145.5,O
10,"Jan 7, 2020",UT.ST,60,AIRFO,79,L,7.5,L,146.5,U
11,"Jan 4, 2020",SD.ST,77,UT.ST,68,L,-3.5,L,130.0,O
12,"Jan 1, 2020",UT.ST,53,UNLV,70,L,6.5,L,134.5,U
13,"Dec 21, 2019",UT.ST,65,FLA,62,W,-3.5,W,135.0,U
14,"Dec 18, 2019",S.FLA,74,UT.ST,76,W,-8.5,L,131.5,O
15,"Dec 14, 2019",BYU,68,UT.ST,64,L,1.0,L,149.0,U
16,"Dec 7, 2019",FRSNO,70,UT.ST,77,W,-13.5,L,138.0,O
17,"Dec 4, 2019",UT.ST,71,SJ.ST,59,W,22.5,L,150.0,U
18,"Nov 29, 2019",UT.ST,73,STMAR,81,L,-3.5,L,134.5,O
19,"Nov 24, 2019",N.TEX,59,UT.ST,68,W,-12.5,L,127.0,P
20,"Nov 22, 2019",UT.ST,80,LSU,78,W,1.5,W,146.5,O
21,"Nov 18, 2019",TEXSA,50,UT.ST,82,W,-19.0,W,151.0,U
22,"Nov 15, 2019",NCA&T,54,UT.ST,81,W,-29.0,L,140.5,U
23,"Nov 12, 2019",DENVR,56,UT.ST,97,W,-23.5,W,143.0,O
24,"Nov 8, 2019",WEBER,34,UT.ST,89,W,-16.5,W,144.5,U
25,"Nov 5, 2019",MONST,73,UT.ST,81,W,-21.5,L,156.0,U
26,"Mar 22, 2019",WASH,78,UT.ST,61,L,-3.5,L,136.0,O
27,"Mar 16, 2019",SD.ST,57,UT.ST,64,W,-6.0,W,133.5,U
28,"Mar 15, 2019",FRSNO,60,UT.ST,85,W,-4.0,W,145.0,P
29,"Mar 14, 2019",NEWMX,83,UT.ST,91,W,-13.0,L,148.0,O
