,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",UTAH,62,OREG,80,L,-12.5,L,136.5,O
1,"Feb 13, 2020",UTAH,51,OREST,70,L,-5.0,L,135.0,U
2,"Feb 8, 2020",CAL,45,UTAH,60,W,-8.5,W,131.0,U
3,"Feb 6, 2020",STANF,56,UTAH,64,W,-1.0,W,135.0,U
4,"Feb 2, 2020",UTAH,57,UCLA,73,L,-4.0,L,136.5,U
5,"Jan 30, 2020",UTAH,52,USC,56,L,-8.0,W,143.0,U
6,"Jan 25, 2020",WASST,64,UTAH,76,W,-7.0,W,144.5,U
7,"Jan 23, 2020",WASH,66,UTAH,67,W,1.0,W,133.5,U
8,"Jan 18, 2020",UTAH,64,ARZST,83,L,-6.5,L,146.0,O
9,"Jan 16, 2020",UTAH,77,ARIZ,93,L,-13.5,L,140.0,O
10,"Jan 12, 2020",UTAH,52,COLO,91,L,-8.5,L,139.0,O
11,"Jan 4, 2020",OREG,69,UTAH,64,L,4.5,L,144.5,U
12,"Jan 2, 2020",OREST,69,UTAH,81,W,-2.0,W,143.5,O
13,"Dec 21, 2019",SD.ST,80,UTAH,52,L,6.0,L,134.5,U
14,"Dec 18, 2019",KENTY,66,UTAH,69,W,9.5,W,138.5,U
15,"Dec 14, 2019",WEBER,49,UTAH,60,W,-9.0,W,143.0,U
16,"Dec 7, 2019",C.ARK,67,UTAH,98,W,-19.0,W,157.0,O
17,"Dec 4, 2019",BYU,95,UTAH,102,W,2.5,W,144.5,O
18,"Nov 29, 2019",UCDAV,73,UTAH,77,W,-17.0,L,133.0,O
19,"Nov 24, 2019",TULAN,65,UTAH,61,L,-7.5,L,149.0,U
20,"Nov 22, 2019",OHIO,66,UTAH,80,W,-5.5,W,139.0,O
21,"Nov 21, 2019",UTAH,57,COCAR,79,L,5.0,L,148.5,U
22,"Nov 15, 2019",MINN,69,UTAH,73,W,-5.0,L,145.0,U
23,"Nov 8, 2019",MSVAL,49,UTAH,143,W,-30.0,W,148.5,O
24,"Nov 5, 2019",UTAH,79,NEV,74,W,-4.5,W,148.0,O
25,"Mar 14, 2019",OREG,66,UTAH,54,L,4.0,L,136.5,U
26,"Mar 9, 2019",UCLA,81,UTAH,92,W,-6.0,W,157.5,O
27,"Mar 7, 2019",USC,74,UTAH,83,W,-4.0,W,150.0,O
28,"Mar 2, 2019",UTAH,63,COLO,71,L,-6.0,L,145.5,U
29,"Feb 23, 2019",UTAH,92,WASST,79,W,1.5,W,155.0,O
