,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",DAYTN,66,VACOM,61,L,3.0,L,143.0,U
1,"Feb 15, 2020",VACOM,59,RICHM,77,L,-1.5,L,143.0,U
2,"Feb 12, 2020",GMASN,72,VACOM,67,L,-14.5,L,138.0,O
3,"Feb 7, 2020",DAVID,62,VACOM,73,W,-9.0,W,135.0,P
4,"Jan 31, 2020",VACOM,75,RHODEI,87,L,-1.0,L,142.0,O
5,"Jan 28, 2020",RICHM,68,VACOM,87,W,-9.5,W,140.0,O
6,"Jan 25, 2020",VACOM,76,LASAL,65,W,10.0,W,136.5,O
7,"Jan 21, 2020",VACOM,73,STJOE,60,W,12.5,W,147.5,U
8,"Jan 18, 2020",STBON,63,VACOM,91,W,-10.5,W,130.0,O
9,"Jan 14, 2020",VACOM,65,DAYTN,79,L,-8.5,L,137.5,O
10,"Jan 11, 2020",RHODEI,65,VACOM,56,L,-8.5,L,143.0,U
11,"Jan 5, 2020",VACOM,72,GMASN,59,W,7.0,W,131.5,U
12,"Jan 2, 2020",FORDM,46,VACOM,64,W,-19.0,L,126.0,U
13,"Dec 29, 2019",LOYMD,51,VACOM,85,W,-16.0,W,140.0,U
14,"Dec 21, 2019",VACOM,63,WICHI,73,L,-5.0,L,135.5,O
15,"Dec 18, 2019",VACOM,76,COLCH,71,W,5.5,L,134.0,O
16,"Dec 15, 2019",MIZST,51,VACOM,61,W,-11.5,L,135.5,U
17,"Dec 7, 2019",OLDDO,57,VACOM,69,W,-13.5,L,128.5,U
18,"Nov 30, 2019",TENN,72,VACOM,69,L,2.0,L,132.0,O
19,"Nov 29, 2019",VACOM,56,PURDU,59,L,-2.0,L,130.5,U
20,"Nov 25, 2019",ALAST,62,VACOM,78,W,-31.0,L,135.0,O
21,"Nov 23, 2019",FLAGC,48,VACOM,78,W,-22.5,W,137.5,U
22,"Nov 17, 2019",JAXST,65,VACOM,93,W,-15.5,W,136.5,O
23,"Nov 13, 2019",LSU,82,VACOM,84,W,-3.5,L,141.5,O
24,"Nov 8, 2019",N.TEX,56,VACOM,59,W,-15.5,L,133.5,U
25,"Nov 5, 2019",STFPA,58,VACOM,72,W,-19.5,L,146.5,U
26,"Mar 22, 2019",UCF,73,VACOM,58,L,1.5,L,126.5,O
27,"Mar 15, 2019",RHODEI,75,VACOM,70,L,-8.0,L,130.0,O
28,"Mar 8, 2019",STJOE,63,VACOM,75,W,-11.5,W,141.5,U
29,"Mar 5, 2019",VACOM,71,GMASN,36,W,6.0,W,140.0,U
