,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",VMI,74,W.CAR,71,W,-9.0,W,153.0,U
1,"Feb 15, 2020",E.TEN,72,VMI,67,L,12.0,W,137.5,O
2,"Feb 12, 2020",VMI,67,CHATT,86,L,-8.5,L,142.0,O
3,"Feb 8, 2020",VMI,75,CITDL,64,W,2.0,W,159.0,U
4,"Feb 5, 2020",WOFFD,79,VMI,73,L,7.0,W,136.5,O
5,"Jan 29, 2020",VMI,72,FURMN,74,L,-16.5,W,144.5,O
6,"Jan 25, 2020",MERCR,69,VMI,66,L,1.5,L,142.0,U
7,"Jan 22, 2020",VMI,54,WOFFD,66,L,-12.0,P,137.0,U
8,"Jan 18, 2020",CITDL,79,VMI,88,W,-3.5,W,157.0,O
9,"Jan 15, 2020",VMI,62,MERCR,73,L,-6.0,L,144.5,U
10,"Jan 11, 2020",VMI,55,E.TEN,61,L,-19.0,W,140.5,U
11,"Jan 8, 2020",W.CAR,97,VMI,85,L,3.5,L,154.0,O
12,"Jan 4, 2020",SAMFD,78,VMI,75,L,-1.5,L,147.5,O
13,"Jan 1, 2020",FURMN,89,VMI,73,L,12.5,L,143.0,O
14,"Dec 29, 2019",VMI,82,USCUP,91,L,3.0,L,138.5,O
15,"Dec 21, 2019",VMI,55,VATEC,64,L,-18.0,W,133.5,U
16,"Dec 11, 2019",FERUM,60,VMI,78,W,0.0,,0.0,
17,"Dec 7, 2019",STETS,61,VMI,88,W,-4.0,W,130.0,O
18,"Dec 4, 2019",VMI,58,DUQU,71,L,-18.5,W,134.0,U
19,"Nov 26, 2019",GOUCH,32,VMI,98,W,0.0,,0.0,
20,"Nov 24, 2019",VMI,63,NCGRE,74,L,-19.5,W,129.0,O
21,"Nov 20, 2019",CRSTDM,20,VMI,96,W,0.0,,0.0,
22,"Nov 17, 2019",VMI,89,UCDAV,84,W,-3.0,W,129.0,O
23,"Nov 15, 2019",IDAHO,68,VMI,67,L,-1.0,L,130.0,O
24,"Nov 14, 2019",VMI,56,ARKST,71,L,-7.0,L,142.0,U
25,"Nov 11, 2019",PRESB,80,VMI,77,L,-3.5,L,143.0,O
26,"Nov 8, 2019",MARST,58,VMI,56,L,-5.0,L,136.0,U
27,"Nov 5, 2019",VMI,68,E.CAR,80,L,-8.5,L,150.0,U
28,"Mar 9, 2019",VMI,72,WOFFD,99,L,-19.5,L,153.0,O
29,"Mar 8, 2019",W.CAR,83,VMI,96,W,0.0,W,157.0,O
