,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",VALPO,65,ILLST,62,W,0.0,,140.0,U
1,"Feb 12, 2020",S.ILL,38,VALPO,55,W,-4.0,W,132.0,U
2,"Feb 9, 2020",VALPO,68,LOYCH,70,L,-8.5,W,133.0,O
3,"Feb 5, 2020",NIOWA,63,VALPO,51,L,3.5,L,147.0,U
4,"Feb 1, 2020",ILLST,70,VALPO,80,W,-7.0,W,145.0,O
5,"Jan 29, 2020",VALPO,69,BRAD,80,L,-5.5,L,140.5,O
6,"Jan 26, 2020",EVANS,65,VALPO,67,W,-12.5,L,141.5,U
7,"Jan 23, 2020",VALPO,60,MIZST,67,L,-4.0,L,139.0,U
8,"Jan 18, 2020",INDST,77,VALPO,86,W,0.0,W,137.5,O
9,"Jan 15, 2020",VALPO,78,NIOWA,88,L,-10.5,W,134.5,O
10,"Jan 11, 2020",DRAKE,61,VALPO,66,W,-1.5,W,141.0,U
11,"Jan 7, 2020",VALPO,50,S.ILL,63,L,-2.5,L,134.0,U
12,"Jan 4, 2020",VALPO,81,EVANS,79,W,-2.0,W,147.0,O
13,"Dec 30, 2019",LOYCH,66,VALPO,63,L,3.5,W,136.5,U
14,"Dec 21, 2019",VALPO,68,ARK,72,L,-13.0,W,144.5,U
15,"Dec 18, 2019",VALPO,87,HIGHP,72,W,8.5,W,137.0,O
16,"Dec 16, 2019",VALPO,57,CHARL,67,L,-3.5,L,138.0,U
17,"Dec 8, 2019",CMICH,55,VALPO,77,W,-2.5,W,159.5,U
18,"Dec 3, 2019",VALPO,79,EMICH,85,L,-2.5,L,129.0,O
19,"Nov 27, 2019",TRINCH,71,VALPO,98,W,0.0,,0.0,
20,"Nov 25, 2019",VALPO,77,CINCY,81,L,-11.0,W,136.5,O
21,"Nov 24, 2019",VALPO,59,NEV,84,L,-3.5,L,150.5,U
22,"Nov 22, 2019",VALPO,78,GRCNYN,74,W,1.0,W,141.0,O
23,"Nov 17, 2019",NDAKOT,60,VALPO,74,W,-8.0,W,143.0,U
24,"Nov 12, 2019",VALPO,89,SIUED,76,W,6.5,W,135.5,O
25,"Nov 9, 2019",VALPO,70,STL,81,L,-9.5,L,136.0,O
26,"Nov 5, 2019",TOLDO,77,VALPO,79,W,3.0,W,134.5,O
27,"Mar 8, 2019",VALPO,54,LOYCH,67,L,-8.0,L,117.0,O
28,"Mar 7, 2019",VALPO,77,INDST,55,W,-3.5,W,126.0,O
29,"Mar 2, 2019",EVANS,65,VALPO,63,L,-4.5,L,129.5,U
