,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",VANDY,61,TENN,65,L,-13.0,W,135.5,U
1,"Feb 15, 2020",VANDY,66,FLA,84,L,-14.5,L,140.5,O
2,"Feb 11, 2020",KENTY,78,VANDY,64,L,11.0,L,144.0,U
3,"Feb 8, 2020",VANDY,70,MISST,80,L,-15.5,W,143.5,O
4,"Feb 5, 2020",LSU,90,VANDY,99,W,11.0,W,146.5,O
5,"Feb 1, 2020",FLA,61,VANDY,55,L,11.5,W,139.0,U
6,"Jan 29, 2020",VANDY,62,KENTY,71,L,-20.5,W,142.0,U
7,"Jan 25, 2020",VANDY,64,S.CAR,90,L,-12.5,L,140.0,O
8,"Jan 22, 2020",ALA,77,VANDY,62,L,10.0,L,153.5,U
9,"Jan 18, 2020",TENN,66,VANDY,45,L,5.5,L,133.5,U
10,"Jan 15, 2020",VANDY,55,ARK,75,L,-14.5,L,142.0,U
11,"Jan 11, 2020",TEXAM,69,VANDY,50,L,-3.5,L,127.5,U
12,"Jan 8, 2020",VANDY,79,AUBRN,83,L,-14.5,W,153.5,O
13,"Jan 4, 2020",SMU,92,VANDY,81,L,0.0,L,145.0,O
14,"Dec 30, 2019",DAVID,71,VANDY,76,W,-1.0,W,140.5,O
15,"Dec 21, 2019",NCWIL,73,VANDY,88,W,-15.0,P,142.5,O
16,"Dec 18, 2019",LOYCH,78,VANDY,70,L,2.0,L,137.0,O
17,"Dec 14, 2019",LIBRT,61,VANDY,56,L,0.0,L,130.5,U
18,"Dec 3, 2019",BUFF,76,VANDY,90,W,-4.0,W,156.0,O
19,"Nov 30, 2019",TULSA,67,VANDY,58,L,-4.5,L,140.0,U
20,"Nov 25, 2019",SELA,70,VANDY,78,W,-19.0,L,143.0,O
21,"Nov 22, 2019",SC.ST,60,VANDY,97,W,-18.0,W,142.5,O
22,"Nov 20, 2019",APEAY,72,VANDY,90,W,-8.0,W,141.0,O
23,"Nov 14, 2019",VANDY,92,RICHM,93,L,-6.5,W,143.5,O
24,"Nov 11, 2019",TEXCC,66,VANDY,71,W,-17.5,L,133.0,O
25,"Nov 6, 2019",SEMIZ,65,VANDY,83,W,-14.0,W,145.5,O
26,"Mar 13, 2019",VANDY,52,TEXAM,69,L,-3.5,L,132.5,U
27,"Mar 9, 2019",VANDY,59,LSU,80,L,-13.0,L,143.0,U
28,"Mar 6, 2019",ARK,84,VANDY,48,L,1.5,L,142.0,U
29,"Mar 2, 2019",VANDY,57,TEXAM,64,L,-6.0,L,135.5,U
