,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",BINGH,48,VERMT,76,W,-22.0,W,139.5,U
1,"Feb 12, 2020",NH,50,VERMT,74,W,-15.0,W,131.0,U
2,"Feb 8, 2020",VERMT,69,HARTF,68,W,13.0,L,130.0,O
3,"Feb 5, 2020",MAINE,52,VERMT,77,W,-22.0,W,125.0,O
4,"Feb 1, 2020",VERMT,86,ALBNY,75,W,9.0,W,132.0,O
5,"Jan 29, 2020",VERMT,56,NH,43,W,13.0,P,128.0,U
6,"Jan 25, 2020",LOWELL,62,VERMT,92,W,-16.5,W,144.0,O
7,"Jan 22, 2020",VERMT,59,MAINE,57,W,15.5,L,128.0,U
8,"Jan 18, 2020",HARTF,57,VERMT,74,W,-17.5,L,131.0,P
9,"Jan 15, 2020",VERMT,72,BINGH,53,W,16.5,W,138.0,U
10,"Jan 11, 2020",VERMT,74,UMBC,50,W,10.0,W,133.5,U
11,"Jan 8, 2020",STONY,81,VERMT,77,L,-9.0,L,131.0,O
12,"Jan 2, 2020",VERMT,77,DART,68,W,8.5,W,125.0,O
13,"Dec 31, 2019",GWASH,51,VERMT,76,W,-13.0,W,128.5,U
14,"Dec 20, 2019",LIPSC,63,VERMT,86,W,-10.5,W,135.5,O
15,"Dec 18, 2019",NCGRE,54,VERMT,53,L,-5.5,L,123.5,U
16,"Dec 7, 2019",TOWSN,38,VERMT,55,W,-7.5,W,130.0,U
17,"Dec 3, 2019",VERMT,73,CINCY,82,L,-6.0,L,132.5,O
18,"Dec 1, 2019",VERMT,52,YALE,65,L,-1.5,L,128.0,U
19,"Nov 27, 2019",GALLAU,44,VERMT,93,W,0.0,,0.0,
20,"Nov 24, 2019",RIDER,72,VERMT,67,L,-8.5,L,140.0,U
21,"Nov 23, 2019",VERMT,81,CCONN,49,W,26.5,W,132.5,U
22,"Nov 19, 2019",VERMT,55,VIRGA,61,L,-15.0,W,109.5,O
23,"Nov 16, 2019",VERMT,70,STJON,68,W,-2.0,W,142.5,U
24,"Nov 13, 2019",BOSTU,47,VERMT,62,W,-11.5,W,137.5,U
25,"Nov 10, 2019",VERMT,66,BUCKN,63,W,3.5,L,139.5,U
26,"Nov 8, 2019",VERMT,61,STBON,59,W,4.0,L,128.0,U
27,"Mar 21, 2019",VERMT,69,FLAST,76,L,-8.5,W,132.5,O
28,"Mar 16, 2019",UMBC,49,VERMT,66,W,-10.5,W,122.5,U
29,"Mar 12, 2019",BINGH,51,VERMT,84,W,-16.5,W,128.5,O
